id,Lactate..1
2999_G1_01,-3.112238
2999_G1_02,-0.3118835
2999_G1_03,0.1942805
2999_G1_04,1.3314065
2999_G1_05,2.3685145
2999_G1_06,0.308771
2999_G1_07,0.190758
2999_G1_08,1.316856
2999_G1_09,0.830944
2999_G1_10,-1.112116
2999_G1_11,2.9048205
2999_G1_12,-1.003201
2999_G1_13,1.0409005
2999_G1_15,-0.635946
2999_G1_16,1.858764
2999_G1_17,-0.262701
2999_G1_18,-1.6633915
2999_G1_19,1.3128545
2999_G1_20,-0.1687415
2999_G1_21,-0.7459765
2999_G1_22,1.020078
2999_G1_23,2.6351065
2999_G1_24,0.111902
2999_G1_25,1.432373
2999_G1_26,-2.466782
2999_G1_27,-2.858046
2999_G1_28,-0.0358255
2999_G1_29,1.3707545
2999_G1_30,-0.115354
2999_G1_31,0.7703835
2999_G1_32,-1.918316
2999_G1_33,1.617995
2999_G1_34,-3.157516
2999_G1_35,-0.7650465
2999_G1_36,-2.603024
2999_G1_37,-1.354279
2999_G1_38,0.9814355
2999_G1_39,-3.8780765
2999_G1_40,-1.0377845
2999_G1_41,3.943704
2999_G1_42,0.891079
2999_G1_43,-2.123365
2999_G1_44,1.7512825
2999_G1_45,-0.3295845
2999_G1_46,0.0878335
2999_G1_47,1.701738
2999_G1_48,-0.0181055
2999_G1_49,1.5116165
2999_G1_50,3.4461025
2999_G1_51,-1.271269
2999_G1_52,-0.4427785
2999_G1_53,0.2939655
2999_G1_54,-1.156924
2999_G1_55,2.818229
2999_G1_56,1.5300455
2999_G1_57,1.5042345
2999_G1_58,1.750351
2999_G1_60,0.6007625
2999_G1_61,0.951237
2999_G1_62,2.2192325
2999_G1_63,2.4031765
2999_G1_64,-0.348155
2999_G1_65,-0.967378
2999_G1_66,2.73595
2999_G1_67,-1.6605915
2999_G1_68,0.3859235
2999_G1_69,0.48828
2999_G1_70,-1.9604585
2999_G1_72,-2.364542
2999_G1_73,2.111255
2999_G1_74,1.0594365
2999_G1_75,-0.0596815
2999_G1_76,-0.3732205
2999_G1_77,-2.991208
2999_G1_78,-15.1911855
2999_G1_79,-2.9120735
2999_G1_80,-0.574564
2999_G1_81,1.539464
2999_G1_82,-0.1085585
2999_G1_83,-2.126916
2999_G1_85,-2.535866
2999_G1_86,-2.6086695
2999_G1_88,-0.2533605
2999_G1_89,-0.801188
2999_G1_90,1.546225
2999_G1_91,-2.953324
2999_G1_92,-0.2777225
2999_G1_93,3.4060835
2999_G1_94,-2.423378
2999_G1_95,0.3735855
2999_G1_96,-0.190341
2999_G2_01,-3.1854347
2999_G2_02,0.43929595
2999_G2_03,1.9576775
2999_G2_04,-0.61613695
2999_G2_05,-0.16832485
2999_G2_06,0.8968419
2999_G2_07,0.828291
2999_G2_08,0.17688855
2999_G2_09,1.08850995
2999_G2_10,0.29393285
2999_G2_11,-0.2251896
2999_G2_12,0.0639944
2999_G2_13,1.15599345
2999_G2_14,1.4805101
2999_G2_15,-0.3720555
2999_G2_16,-0.84164325
2999_G2_17,1.31435015
2999_G2_18,0.8259446
2999_G2_19,-2.0696199
2999_G2_20,-0.8716859
2999_G2_21,-1.2998717
2999_G2_22,0.4407782
2999_G2_23,0.93906405
2999_G2_24,2.9408369
2999_G2_25,1.1634073
2999_G2_26,4.4457083
2999_G2_27,0.0709906
2999_G2_28,0.00531710000000002
2999_G2_29,-0.345311
2999_G2_30,1.42756915
2999_G2_31,1.18411485
2999_G2_32,3.08070745
2999_G2_33,1.31480975
2999_G2_34,0.58061655
2999_G2_35,0.15216125
2999_G2_36,-1.46008905
2999_G2_37,1.01379745
2999_G2_38,0.5007378
2999_G2_39,0.7210186
2999_G2_40,3.6306086
2999_G2_41,1.68565235
2999_G2_42,2.1621405
2999_G2_43,0.5961754
2999_G2_44,-2.175279
2999_G2_45,-0.76458505
2999_G2_46,-1.27180695
2999_G2_47,1.52964745
2999_G2_48,-0.5406239
2999_G2_49,-2.7572967
2999_G2_50,1.39814
2999_G2_51,1.572161
2999_G2_52,-1.224568
2999_G2_53,-0.373358
2999_G2_54,-1.6282837
2999_G2_55,-2.3193645
2999_G2_56,1.96128055
2999_G2_57,1.94542
2999_G2_58,2.407151
2999_G2_59,-3.736709
2999_G2_60,-1.107315
2999_G2_61,2.627976
2999_G2_62,0.88620645
2999_G2_63,1.6508313
2999_G2_64,4.610757
2999_G2_65,-4.236142
2999_G2_66,-0.461234
2999_G2_67,-0.136588
2999_G2_68,-1.078309
2999_G2_69,-0.761194
2999_G2_70,-1.37210495
2999_G2_71,0.31326435
2999_G2_72,-1.7142219
2999_G2_73,-3.038082
2999_G2_74,-0.766592
2999_G2_75,1.593544
2999_G2_76,-0.087124
2999_G2_77,5.293996
2999_G2_78,-1.37986045
2999_G2_79,2.5881703
2999_G2_80,-1.3810879
2999_G2_81,-2.0647008
2999_G2_82,-4.1476157
2999_G2_83,-0.136685
2999_G2_84,3.592371
2999_G2_85,-1.225702
2999_G2_86,4.3237058
2999_G2_87,-1.57744535
2999_G2_88,0.65197535
2999_G2_89,-3.2841299
2999_G2_90,0.53759945
2999_G2_91,-0.70842305
2999_G2_92,-3.6860831
2999_G2_93,3.24046125
2999_G2_94,0.13002345
2999_G2_95,-0.52282195
2999_G2_96,-0.5110468
2999_G3_01,-1.4034025
2999_G3_02,3.925341
2999_G3_03,0.5111325
2999_G3_04,-1.8157415
2999_G3_05,0.173529
2999_G3_06,1.4357015
2999_G3_07,-1.0623455
2999_G3_08,-2.23374
2999_G3_09,1.730591
2999_G3_10,0.8914005
2999_G3_11,2.772232
2999_G3_12,1.8502925
2999_G3_13,0.3687195
2999_G3_14,0.657542
2999_G3_15,-2.602468
2999_G3_16,2.8380055
2999_G3_17,-0.762821
2999_G3_18,-0.4194845
2999_G3_19,-0.8323735
2999_G3_20,-1.1827605
2999_G3_21,-0.699564
2999_G3_22,0.1269005
2999_G3_23,-0.520132
2999_G3_24,-0.4740495
2999_G3_25,3.2160605
2999_G3_26,1.9729625
2999_G3_27,-2.42598
2999_G3_28,0.131719
2999_G3_29,-0.193089
2999_G3_30,1.1690085
2999_G3_31,-0.6248125
2999_G3_32,1.472107
2999_G3_33,1.406851
2999_G3_34,0.382944
2999_G3_35,2.827361
2999_G3_36,-0.5054695
2999_G3_37,1.09546
2999_G3_38,0.1809675
2999_G3_39,-3.623224
2999_G3_40,1.8551235
2999_G3_41,3.9563905
2999_G3_42,-0.8566105
2999_G3_43,-1.1371265
2999_G3_44,3.9124515
2999_G3_45,-4.8771765
2999_G3_47,-1.468248
2999_G3_48,-0.718273
2999_G3_49,0.2249355
2999_G3_50,0.7059655
2999_G3_51,-2.454413
2999_G3_52,-2.5633895
2999_G3_53,-0.551654
2999_G3_54,0.961624
2999_G3_55,0.4794975
2999_G3_57,1.0776755
2999_G3_58,2.8274305
2999_G3_59,-1.8595865
2999_G3_60,-1.360326
2999_G3_61,0.6971465
2999_G3_62,0.0349915
2999_G3_63,-1.62615
2999_G3_65,2.903307
2999_G3_66,1.1318635
2999_G3_67,-1.737554
2999_G3_68,0.4079915
2999_G3_69,-0.5642305
2999_G3_70,-0.2583075
2999_G3_71,2.891217
2999_G3_72,-1.0703335
2999_G3_73,2.7129185
2999_G3_74,0.405059
2999_G3_75,3.657259
2999_G3_76,1.433601
2999_G3_77,-0.04464
2999_G3_78,1.437506
2999_G3_79,-0.373509
2999_G3_80,-3.8993565
2999_G3_81,3.538683
2999_G3_82,0.6230915
2999_G3_83,-2.706143
2999_G3_84,-1.2429335
2999_G3_86,-0.71261
2999_G3_87,-1.5966765
2999_G3_88,0.0606985
2999_G3_89,0.2648085
2999_G3_90,2.2204
2999_G3_91,4.2114065
2999_G3_92,-1.3397045
2999_G3_93,-2.2223865
2999_G3_94,-1.7577035
2999_G3_95,-1.774472
2999_G3_96,1.038958
2999_G4_01,1.0658825
2999_G4_02,-0.85664595
2999_G4_03,1.2436656
2999_G4_04,1.2604282
2999_G4_05,0.9745296
2999_G4_06,-2.26850055
2999_G4_07,-0.332924
2999_G4_08,-1.16512895
2999_G4_09,0.4443376
2999_G4_10,-3.47829875
2999_G4_11,-1.86656405
2999_G4_12,-0.2634692
2999_G4_13,2.17339925
2999_G4_14,0.7471177
2999_G4_15,4.57048655
2999_G4_16,-2.15948135
2999_G4_17,-1.8827145
2999_G4_18,-0.69465905
2999_G4_19,-1.01026885
2999_G4_20,-1.95888865
2999_G4_21,-1.80668335
2999_G4_22,3.49392605
2999_G4_23,1.6471657
2999_G4_24,1.44440515
2999_G4_25,0.43349765
2999_G4_26,1.2677868
2999_G4_27,0.46832475
2999_G4_28,3.54044455
2999_G4_29,1.50071275
2999_G4_30,-0.49902245
2999_G4_31,-3.109215
2999_G4_32,0.4434663
2999_G4_33,1.4550627
2999_G4_34,-0.6221339
2999_G4_35,-1.2816685
2999_G4_36,-0.2729213
2999_G4_37,0.60665295
2999_G4_38,0.01044005
2999_G4_39,1.45449475
2999_G4_40,-1.21097035
2999_G4_41,1.12195185
2999_G4_42,1.2556879
2999_G4_43,-2.08044935
2999_G4_44,-0.9786149
2999_G4_45,-1.8276652
2999_G4_46,-1.707907
2999_G4_47,-1.42208725
2999_G4_48,1.52826035
