id,Lactate..1
3000_G1_01,1.756634
3000_G1_02,5.02518465
3000_G1_03,2.42872425
3000_G1_04,5.3766494
3000_G1_05,-0.98848915
3000_G1_06,2.23088365
3000_G1_07,-0.20800665
3000_G1_08,0.7723646
3000_G1_09,4.78637995
3000_G1_10,-6.011081
3000_G1_11,0.24295875
3000_G1_12,0.3983771
3000_G1_13,1.815101
3000_G1_14,4.99676465
3000_G1_15,-0.28093285
3000_G1_17,2.1999148
3000_G1_18,2.42285425
3000_G1_19,0.3700188
3000_G1_20,-4.6657972
3000_G1_22,-1.04959385
3000_G1_23,1.0505014
3000_G1_24,-2.39838665
3000_G1_25,1.27996475
3000_G1_26,5.10994705
3000_G1_27,-1.0991063
3000_G1_28,0.9910794
3000_G1_29,2.42731815
3000_G1_30,-0.67439385
3000_G1_32,0.3305376
3000_G1_33,2.9884515
3000_G1_34,3.8955295
3000_G1_35,1.96762845
3000_G1_36,-0.0469733
3000_G1_37,1.14548155
3000_G1_38,4.81034125
3000_G1_40,0.0525356499999999
3000_G1_41,-0.5166732
3000_G1_42,-1.5272846
3000_G1_43,1.2443614
3000_G1_44,-1.24656575
3000_G1_45,1.5699227
3000_G1_46,-3.22089685
3000_G1_47,-1.9648677
3000_G1_48,1.9060445
3000_G1_49,2.79585345
3000_G1_50,1.64754605
3000_G1_51,3.96992985
3000_G1_52,-4.25523845
3000_G1_53,5.8940533
3000_G1_54,-1.46789955
3000_G1_55,-0.22146465
3000_G1_57,5.061726
3000_G1_58,1.4736763
3000_G1_59,-0.4278745
3000_G1_60,0.2170003
3000_G1_61,1.99540755
3000_G1_62,3.01466565
3000_G1_63,1.7317968
3000_G1_64,-1.9068457
3000_G1_65,-2.8330877
3000_G1_66,0.2940118
3000_G1_67,2.45292265
3000_G1_68,-2.8373205
3000_G1_69,-1.7659228
3000_G1_70,-0.17837155
3000_G1_71,-0.3456371
3000_G1_72,2.4990861
3000_G1_73,0.3065148
3000_G1_74,-1.5083152
3000_G1_75,1.5397167
3000_G1_76,-4.19657775
3000_G1_77,1.5028988
3000_G1_78,0.2769839
3000_G1_80,-0.9799126
3000_G1_81,1.96852415
3000_G1_82,-2.37700135
3000_G1_83,1.29382825
3000_G1_84,1.11444005
3000_G1_85,-3.6318235
3000_G1_86,-0.3027375
3000_G1_87,-1.55756225
3000_G1_88,0.5614198
3000_G1_89,-1.3904572
3000_G1_90,-3.3811094
3000_G1_91,-1.5497924
3000_G1_92,-0.15386745
3000_G1_93,0.8991601
3000_G1_94,-4.374184
3000_G1_95,-2.26332765
3000_G1_96,-1.00889465
3000_G2_01,-0.591635
3000_G2_02,-0.3315485
3000_G2_03,-0.508871
3000_G2_04,1.777667
3000_G2_05,1.557673
3000_G2_06,0.466343
3000_G2_07,0.9728915
3000_G2_08,1.2066475
3000_G2_09,-0.4117995
3000_G2_10,-1.9190155
3000_G2_11,3.143417
3000_G2_12,0.0866665
3000_G2_13,1.173806
3000_G2_14,-1.4416005
3000_G2_15,-0.2219365
3000_G2_16,1.171668
3000_G2_18,-1.6075555
3000_G2_19,-6.683419
3000_G2_20,-1.6696995
3000_G2_22,-0.7152805
3000_G2_23,-2.8444995
3000_G2_25,3.227123
3000_G2_26,-0.1915795
3000_G2_27,1.011434
3000_G2_28,2.4967975
3000_G2_29,-1.1229905
3000_G2_30,1.497507
3000_G2_31,1.4701655
3000_G2_32,-1.344467
3000_G2_33,0.288623
3000_G2_34,0.175105
3000_G2_36,-2.9386715
3000_G2_37,-2.5868685
3000_G2_38,2.204001
3000_G2_39,0.001328
3000_G2_40,0.369327
3000_G2_41,-0.9195595
3000_G2_42,1.909334
3000_G2_43,0.588207
3000_G2_44,-1.2378735
3000_G2_45,-0.0927475
3000_G2_46,0.5233165
3000_G2_47,0.670112
3000_G2_49,-1.87822
3000_G2_50,1.3314625
3000_G2_51,-3.038749
3000_G2_52,1.1963345
3000_G2_53,-1.0528735
3000_G2_54,4.074251
3000_G2_56,0.8296605
3000_G2_57,-3.1302815
3000_G2_58,2.134085
3000_G2_59,-1.8124485
3000_G2_60,3.335905
3000_G2_61,1.387342
3000_G2_62,-1.938257
3000_G2_63,2.200194
3000_G2_64,0.447001
3000_G2_65,-4.039909
3000_G2_66,2.43855
3000_G2_67,1.1490225
3000_G2_68,-0.4482975
3000_G2_70,2.7433715
3000_G2_71,1.316059
3000_G2_72,3.0712495
3000_G2_73,2.4844745
3000_G2_74,7.04854
3000_G2_75,2.8538715
3000_G2_76,-1.715109
3000_G2_77,2.389195
3000_G2_78,1.485875
3000_G2_79,-3.7229535
3000_G2_80,-1.418999
