id,Lactate..1
3001_G1_01,-1.4765545
3001_G1_02,1.193194
3001_G1_03,-0.682765
3001_G1_04,0.7216315
3001_G1_08,-4.906332
3001_G1_09,-1.093584
3001_G1_12,0.6931345
3001_G1_15,-0.701207
3001_G1_17,-3.430099
3001_G1_18,-0.3442145
3001_G1_19,1.7151305
3001_G1_20,-2.831234
3001_G1_22,-2.905828
3001_G1_24,-2.0170785
3001_G1_25,-0.480049
3001_G1_26,-0.5261045
3001_G1_27,0.5109555
3001_G1_28,-2.6333655
3001_G1_31,1.6242475
3001_G1_33,1.0946605
3001_G1_37,-0.465605
3001_G1_38,-1.3424345
3001_G1_40,0.36181
3001_G1_41,1.203473
3001_G1_44,-4.3272395
3001_G1_45,-0.563549
3001_G1_47,-0.9814035
3001_G1_50,1.2595255
3001_G1_53,-1.0468255
3001_G1_54,3.623263
3001_G1_56,-0.892373
3001_G1_57,3.614748
3001_G1_58,1.503888
3001_G1_59,-3.067807
3001_G1_60,-5.9302975
3001_G1_62,0.6728155
3001_G1_63,-3.982278
3001_G1_64,-0.1710275
3001_G1_65,-1.431434
3001_G1_66,-3.098074
3001_G1_68,-0.57906
3001_G1_69,1.097388
3001_G1_70,-2.726745
3001_G1_71,-1.268518
3001_G1_76,0.649812
3001_G1_77,-0.786309
3001_G1_78,0.144413
3001_G1_79,-0.317328
3001_G1_81,0.2610295
3001_G1_84,-1.305972
3001_G1_85,-0.623963
3001_G1_88,-4.135125
3001_G1_89,-4.5196035
3001_G1_91,-2.913271
3001_G1_92,-1.9489985
3001_G1_93,-1.079532
3001_G1_95,-4.981695
3001_G2_01,-3.8365395
3001_G2_02,-0.1946075
3001_G2_04,3.2269605
3001_G2_05,-1.7502865
3001_G2_06,-1.892737
3001_G2_07,-4.5410765
3001_G2_08,-2.1705055
3001_G2_10,-0.586348
3001_G2_11,-3.3591545
3001_G2_12,3.072458
3001_G2_13,1.23494
3001_G2_15,-3.596686
3001_G2_16,0.367412
3001_G2_17,-1.6648375
3001_G2_19,-4.1960925
3001_G2_20,-1.9709155
3001_G2_21,-1.951905
3001_G2_23,0.0460655
3001_G2_25,-0.581902
3001_G2_30,-0.0226955
3001_G2_31,3.9852605
3001_G2_32,1.570927
3001_G2_33,1.3010705
3001_G2_34,-3.605169
3001_G2_35,0.704575
3001_G2_37,0.172231
3001_G2_38,0.625777
3001_G2_39,-2.4483105
3001_G2_40,-3.559942
3001_G2_41,-0.1053725
3001_G2_43,0.2939935
3001_G2_44,-0.5850845
3001_G2_46,-2.8553935
3001_G2_47,-5.07787
3001_G2_48,1.2184655
3001_G2_51,0.097017
3001_G2_52,0.9207745
3001_G2_53,-1.172598
3001_G2_54,1.892032
3001_G2_55,-1.063962
3001_G2_56,2.706165
3001_G2_57,-3.206293
3001_G2_58,2.358668
3001_G2_59,-3.271695
3001_G2_60,2.434823
3001_G2_61,0.8626875
3001_G2_62,-3.3126345
3001_G2_63,2.8992835
3001_G2_64,-2.0013345
3001_G2_65,-5.679306
3001_G2_68,2.8318055
3001_G2_69,0.652562
3001_G2_70,0.4651115
3001_G2_72,0.6907955
3001_G2_73,0.3836535
3001_G2_74,0.5073005
3001_G2_75,-0.69363
3001_G2_76,-3.634795
3001_G2_77,-4.1393045
3001_G2_78,-0.734909
3001_G2_79,1.3636245
3001_G2_80,-0.5953685
3001_G2_83,-4.127458
3001_G2_84,-2.5881875
3001_G2_85,-1.5923615
3001_G2_87,-2.930151
3001_G2_88,-3.647158
3001_G2_90,-0.3046365
3001_G2_91,-1.6357935
3001_G2_92,-3.5878265
3001_G2_93,-1.167647
3001_G2_95,-2.332722
3001_G3_02,-0.173752
3001_G3_03,1.143784
3001_G3_04,2.1366345
3001_G3_05,2.024755
3001_G3_06,2.4751495
3001_G3_07,-1.2476685
3001_G3_08,0.592259
3001_G3_10,-2.8177445
3001_G3_11,-1.864588
3001_G3_12,3.123955
3001_G3_13,0.138333
3001_G3_16,-0.2435395
3001_G3_17,-0.679665
3001_G3_18,-1.2205265
3001_G3_19,0.710354
3001_G3_20,2.656349
3001_G3_21,-1.021776
3001_G3_22,-1.7266425
3001_G3_23,-0.685267
3001_G3_25,0.7127615
3001_G3_27,-0.392912
3001_G3_28,-2.846769
3001_G3_29,-5.558008
3001_G3_30,0.4044545
3001_G3_31,-3.6858845
3001_G3_33,-2.592918
3001_G3_34,0.408999
3001_G3_37,-3.1526085
3001_G3_38,-2.1597315
3001_G3_39,-1.7705375
3001_G3_40,-1.212326
3001_G3_41,0.024346
3001_G3_42,-0.8903815
3001_G3_44,-0.640668
3001_G3_45,-0.7190135
3001_G3_46,0.254957
3001_G3_47,-1.067518
3001_G3_49,0.2675525
3001_G3_50,0.5663805
3001_G3_51,-1.1897015
3001_G3_53,-1.201016
3001_G3_54,-0.923742
3001_G3_56,-0.5034705
3001_G3_57,-0.777336
3001_G3_58,3.5774155
3001_G3_59,1.4796165
3001_G3_60,-1.6189645
3001_G3_61,1.439805
3001_G3_62,-0.3590205
3001_G3_63,1.035094
3001_G3_64,1.9280345
3001_G3_65,-1.0934995
3001_G3_66,0.790717
3001_G3_67,-2.6518545
3001_G3_68,-1.40676
3001_G3_69,0.9323125
3001_G3_70,-0.8087555
3001_G3_72,-2.668974
3001_G3_76,-1.808675
3001_G3_77,1.972378
3001_G3_78,0.5125655
3001_G3_80,-2.476586
3001_G3_81,-1.425218
3001_G3_82,-0.604057
3001_G3_83,-2.0183425
3001_G3_85,-12.5834205
3001_G3_86,-1.9985335
3001_G3_87,-1.3522045
3001_G3_88,-2.825719
3001_G3_90,1.8725245
3001_G3_92,0.1856985
3001_G3_94,-4.337499
3001_G3_95,-1.451446
3001_G3_96,1.2054915
3001_G4_01,1.4749325
3001_G4_02,-1.031507
3001_G4_03,0.5637035
3001_G4_04,-2.731773
3001_G4_07,-0.2228355
3001_G4_08,-2.4216555
3001_G4_09,1.484316
3001_G4_10,-2.2978585
3001_G4_12,-0.7275745
3001_G4_13,-1.562995
3001_G4_14,-0.1883115
3001_G4_15,-1.5775485
3001_G4_16,-1.361613
3001_G4_17,-2.7510995
3001_G4_19,-0.222603
3001_G4_20,-2.8268815
3001_G4_21,0.7939785
3001_G4_23,1.314704
3001_G4_24,-0.2509215
3001_G4_25,1.509161
3001_G4_26,1.885444
3001_G4_27,3.3877265
3001_G4_28,-0.7200235
3001_G4_29,-0.052681
3001_G4_30,-1.014018
3001_G4_31,-0.057172
3001_G4_32,0.5980335
3001_G4_33,2.8838005
3001_G4_35,-3.2938635
3001_G4_36,0.148622
3001_G4_37,-0.1479415
3001_G4_38,0.7463315
3001_G4_39,-0.0338195
3001_G4_40,0.432907
3001_G4_42,-0.224473
3001_G4_43,-0.21102
3001_G4_44,0.826677
3001_G4_45,1.1552465
3001_G4_46,-1.7532325
3001_G4_47,-2.0904655
3001_G4_48,-1.7401285
3001_G4_49,-0.7099235
3001_G4_50,-0.2448545
3001_G4_52,-1.174131
3001_G4_53,3.2598005
3001_G4_54,-1.977819
3001_G4_55,0.489348
3001_G4_58,-4.267495
3001_G4_63,-1.127956
3001_G4_64,-3.629986
3001_G4_65,-0.96993
3001_G4_66,-1.5891335
3001_G4_67,-3.4437585
3001_G4_68,-5.219311
3001_G4_69,0.037965
3001_G4_70,-4.711029
3001_G4_71,-1.9940205
3001_G4_72,0.925007
3001_G4_74,-0.872585
3001_G4_77,0.941674
3001_G4_79,-3.6218605
3001_G4_80,-3.130113
3001_G4_81,2.362796
3001_G4_82,0.991238
3001_G4_83,-4.19189
3001_G4_84,-1.559253
3001_G4_85,-0.3587075
3001_G4_86,2.739644
3001_G4_87,-1.128999
3001_G4_89,-4.389118
3001_G4_90,0.2954735
3001_G4_91,0.00908200000000003
3001_G4_92,0.067058
3001_G4_93,0.211628
3001_G4_94,-0.613835
3001_G4_95,-0.457754
3001_G5_01,0.8288405
3001_G5_02,-0.66597
3001_G5_04,-0.5602175
3001_G5_05,0.044353
3001_G5_08,-0.1428945
3001_G5_09,0.3621195
3001_G5_11,2.883401
3001_G5_12,-1.38958
3001_G5_13,-0.8154495
3001_G5_14,-0.2425185
3001_G5_15,1.0642845
3001_G5_16,0.282085
3001_G5_17,-5.095648
3001_G5_19,-2.236413
3001_G5_21,-1.491074
3001_G5_22,0.3384275
3001_G5_23,2.922319
3001_G5_24,-3.7761515
3001_G5_25,2.602028
3001_G5_26,-0.111617
3001_G5_27,-1.5523915
3001_G5_28,-1.2679795
3001_G5_30,0.5114375
3001_G5_32,-2.227568
3001_G5_33,0.297929
3001_G5_34,2.23782
3001_G5_35,1.4299445
3001_G5_38,-3.655664
3001_G5_39,0.7773215
3001_G5_40,-1.3254315
3001_G5_41,-1.1349855
3001_G5_43,-1.9725615
3001_G5_44,-2.965905
3001_G5_45,-1.2951855
3001_G5_46,-1.347689
