id,Lactate..1
3003_G1_01,0.0721944999999999
3003_G1_02,-1.850046
3003_G1_03,-3.4080905
3003_G1_04,4.070264
3003_G1_05,3.4635305
3003_G1_06,-2.75197
3003_G1_07,0.378508
3003_G1_09,1.8407345
3003_G1_10,1.046373
3003_G1_11,2.798451
3003_G1_12,-1.0661545
3003_G1_13,0.486968
3003_G1_15,-3.2322645
3003_G1_16,1.659627
3003_G1_17,-4.4561915
3003_G1_18,-0.0515045
3003_G1_19,0.524306
3003_G1_20,-4.7666555
3003_G1_21,-0.605962
3003_G1_22,-3.257372
3003_G1_23,0.4067565
3003_G1_24,-1.2519805
3003_G1_25,0.525812
3003_G1_26,3.1074255
3003_G1_27,3.0108655
3003_G1_28,0.453261
3003_G1_29,2.2387135
3003_G1_30,0.1214115
3003_G1_31,2.919673
3003_G1_32,0.748749
3003_G1_33,-0.2532645
3003_G1_34,-0.539415
3003_G1_35,1.707522
3003_G1_36,3.000258
3003_G1_37,-4.5738345
3003_G1_38,-1.0287345
3003_G1_39,-0.4443045
3003_G1_40,-1.080494
3003_G1_41,0.6632035
3003_G1_42,0.533531
3003_G1_43,-1.3764595
3003_G1_45,-3.671273
3003_G1_46,4.300616
3003_G1_47,-1.3395685
3003_G1_48,-0.3495535
3003_G1_49,0.053711
3003_G1_50,-2.5937985
3003_G1_51,0.026524
3003_G1_52,1.514118
3003_G1_53,2.297089
3003_G1_54,-3.3644275
3003_G1_55,1.1457505
3003_G1_56,0.502903
3003_G1_57,1.961744
3003_G1_58,1.854626
3003_G1_59,1.9999905
3003_G1_60,4.815945
3003_G1_61,4.5576605
3003_G1_62,-1.1645995
3003_G1_63,-2.946773
3003_G1_64,-1.4370825
3003_G1_65,-2.7794745
3003_G1_66,-4.4001425
3003_G1_67,0.276285
3003_G1_68,1.9545025
3003_G1_69,-2.237842
3003_G1_70,-2.5520165
3003_G1_71,-1.934071
3003_G1_72,-0.3251845
3003_G1_73,-4.4693545
3003_G1_74,4.2106095
3003_G1_75,0.924411
3003_G1_76,-0.4676725
3003_G1_77,1.6922565
3003_G1_78,2.7920735
3003_G1_79,-4.2243815
3003_G1_80,0.3269015
3003_G1_81,0.576877
3003_G1_82,1.1445295
3003_G1_84,-3.8522545
3003_G1_85,-5.082052
3003_G1_86,-3.398462
3003_G1_87,-1.618937
3003_G1_88,-0.724515
3003_G1_89,-1.441901
3003_G1_90,-0.6702245
3003_G1_91,1.8006725
3003_G1_92,1.663221
3003_G1_94,-3.1475675
3003_G1_95,-3.3258145
3003_G1_96,-4.681854
3003_G2_01,-0.5279415
3003_G2_02,1.7493515
3003_G2_03,-3.4849705
3003_G2_04,-0.4448895
3003_G2_05,-1.0216385
3003_G2_06,0.3412095
3003_G2_07,-0.4765605
3003_G2_08,0.2765105
3003_G2_09,-0.238292
3003_G2_10,0.077126
3003_G2_11,-0.6367775
3003_G2_12,0.3219105
3003_G2_13,5.5646875
3003_G2_14,3.0959335
3003_G2_15,-0.5198
3003_G2_16,-0.9470365
3003_G2_17,2.76325
3003_G2_18,-1.04453
3003_G2_19,2.8215315
3003_G2_20,0.171872
