id,Lactate..1
3004_G1_01,-4.460655
3004_G1_02,-2.099105
3004_G1_03,-0.45018
3004_G1_04,1.83713
3004_G1_05,1.196495
3004_G1_06,1.59212
3004_G1_07,1.45618
3004_G1_08,-3.94914
3004_G1_09,2.573735
3004_G1_10,0.91042
3004_G1_11,4.63717
3004_G1_12,5.594175
3004_G1_13,5.110855
3004_G1_14,1.326255
3004_G1_15,2.608305
3004_G1_16,3.06477
3004_G1_17,-2.511555
3004_G1_18,-5.37061
3004_G1_19,4.38136
3004_G1_20,-0.83125
3004_G1_21,0.66006
3004_G1_22,4.490995
3004_G1_23,2.281185
3004_G1_24,3.12232
3004_G1_25,-4.150585
3004_G1_26,-1.252245
3004_G1_27,0.0786399999999999
3004_G1_28,-5.51946
3004_G1_29,1.664945
3004_G1_30,6.32213
3004_G1_31,1.464075
3004_G1_32,-0.85888
3004_G1_33,3.3437
3004_G1_34,-0.72462
3004_G1_35,-2.0416
3004_G1_36,-6.806115
3004_G1_37,0.54586
3004_G1_38,-1.02346
3004_G1_39,1.712405
3004_G1_40,-4.95217
3004_G1_42,4.36754
3004_G1_43,4.79633
3004_G1_44,1.57524
3004_G1_45,-0.88218
3004_G1_46,0.679745
3004_G1_47,-3.51869
3004_G1_49,0.55681
3004_G1_51,1.940685
3004_G1_52,2.189315
3004_G1_53,-2.62868
3004_G1_54,-0.795315
3004_G1_55,-0.347125
3004_G1_56,0.871705
3004_G1_57,-2.720505
3004_G1_58,0.21119
3004_G1_59,-2.050695
3004_G1_60,1.977675
3004_G1_61,-1.391625
3004_G1_62,2.41632
3004_G1_63,-0.73874
3004_G1_64,-3.8003
3004_G1_65,-3.538625
3004_G1_66,1.6136
3004_G1_67,2.632085
3004_G1_68,-0.857715
3004_G1_69,-0.733535
3004_G1_70,-0.149435
3004_G1_71,-2.069715
3004_G1_72,-1.18849
3004_G1_73,0.233775
3004_G1_74,-4.52242
3004_G1_75,-3.31836
3004_G1_76,-6.00993
3004_G1_77,-1.41904
3004_G1_78,-2.522965
3004_G1_79,2.156225
3004_G1_80,2.160615
3004_G1_81,1.84234
3004_G1_82,3.719965
3004_G1_83,-4.772205
3004_G1_84,-2.739775
3004_G1_85,-0.61498
3004_G1_86,4.76752
3004_G1_89,-3.390485
3004_G1_90,2.000975
3004_G1_91,-0.9255
3004_G1_92,-6.487225
3004_G1_93,4.0396
3004_G1_94,-5.63587
3004_G1_95,-5.76326
3004_G1_96,-4.27171
3004_G2_01,2.917945
3004_G2_02,-0.64847
3004_G2_03,-1.640265
3004_G2_04,0.541375
3004_G2_05,-1.31959
3004_G2_06,4.260015
3004_G2_07,-7.62462
3004_G2_08,-1.39838
3004_G2_09,-0.184395
3004_G2_10,-3.32467
3004_G2_11,-0.466085
3004_G2_12,0.927345
3004_G2_13,-1.904995
3004_G2_14,-3.018415
3004_G2_15,1.49396
3004_G2_16,0.409905
3004_G2_17,0.10821
3004_G2_19,0.957135
3004_G2_20,-0.54461
3004_G2_21,1.0197
3004_G2_22,1.64191
3004_G2_23,4.79779
3004_G2_24,1.503725
3004_G2_25,6.334695
3004_G2_26,0.24807
3004_G2_27,1.157665
3004_G2_28,-1.74733
3004_G2_29,0.07114
3004_G2_30,3.855555
3004_G2_31,-2.621315
3004_G2_32,3.477805
3004_G2_33,-6.21369
3004_G2_34,0.865145
3004_G2_36,-2.58614
3004_G2_37,-3.392935
3004_G2_38,1.29762
3004_G2_39,-2.25034
3004_G2_40,-2.153145
3004_G2_41,-2.424185
3004_G2_42,1.80564
3004_G2_43,1.18585
3004_G2_44,-0.54467
3004_G2_45,-0.854425
3004_G2_46,1.753335
3004_G2_48,-0.447225
3004_G2_49,1.32933
