id,Lactate..1
3028_G1_01,-0.348155
3028_G1_02,0.85352
3028_G1_03,1.96074
3028_G1_04,-0.469705
3028_G1_05,-7.107765
3028_G1_06,0.2652
3028_G1_07,-11.073285
3028_G1_08,1.31032
3028_G1_09,-0.37783
3028_G1_10,-3.417535
3028_G1_11,-9.202205
3028_G1_12,1.04883
3028_G1_13,0.00740499999999999
3028_G1_14,-2.605645
3028_G1_15,4.637145
3028_G1_16,6.59356
3028_G1_17,-0.934695
3028_G1_18,-7.954385
3028_G1_19,0.157445
3028_G1_20,-8.65848
3028_G1_21,-4.00397
3028_G1_22,-2.28123
3028_G1_23,-1.237495
3028_G1_24,1.06827
3028_G1_25,-0.6274
3028_G1_26,2.936435
3028_G1_27,-6.12156
3028_G1_28,-0.79304
3028_G1_29,2.94749
3028_G1_30,1.473485
3028_G1_31,0.09106
3028_G1_32,3.777835
3028_G1_33,1.989545
3028_G1_34,4.38529
3028_G1_35,3.487145
3028_G1_36,1.40398
3028_G1_37,-4.74784
3028_G1_38,-9.28379
3028_G1_39,2.924455
3028_G1_40,1.12243
3028_G1_41,0.099205
3028_G1_42,2.707855
3028_G1_43,4.367925
3028_G1_44,2.912105
3028_G1_45,-6.424185
3028_G1_46,3.6388
3028_G1_47,1.367235
3028_G1_48,-0.039805
3028_G1_49,-1.39591
3028_G1_50,3.7583
3028_G1_51,-3.69672
3028_G1_52,-2.916805
3028_G1_53,3.968095
3028_G1_54,3.074275
3028_G1_55,4.241215
3028_G1_56,0.72195
3028_G1_57,2.212455
3028_G1_58,-3.78095
3028_G1_59,0.24439
3028_G1_60,3.823245
3028_G1_62,4.32363
3028_G1_63,-14.04074
3028_G1_64,0.689285
3028_G1_65,-1.892325
3028_G1_66,1.335435
3028_G1_67,-1.384715
3028_G1_68,2.90015
3028_G1_69,-11.39848
3028_G1_70,1.24483
3028_G1_71,2.451225
3028_G1_72,1.646395
3028_G1_73,1.64524
3028_G1_74,0.24108
3028_G1_75,1.909595
3028_G1_76,-0.804025
3028_G1_77,4.058005
3028_G1_78,2.33767
3028_G1_79,-1.499085
3028_G1_80,-2.482765
3028_G1_81,-2.24723
3028_G1_82,2.13532
3028_G1_83,2.6527
3028_G1_84,1.41682
3028_G1_85,2.36246
3028_G1_86,-1.459455
3028_G1_87,-2.549945
3028_G1_88,1.818235
3028_G1_89,-0.98973
3028_G1_90,-0.011775
3028_G1_91,3.45229
3028_G1_92,2.39209
3028_G1_93,2.71306
3028_G1_94,-9.10162
3028_G1_95,-0.28683
3028_G1_96,-0.22365
3028_G2_01,-0.8497305
3028_G2_02,2.7420195
3028_G2_03,0.2348435
3028_G2_04,-12.5826445
3028_G2_05,-7.731807
3028_G2_06,-0.3966675
3028_G2_07,-1.545484
3028_G2_08,-1.072751
3028_G2_09,0.785673
3028_G2_10,5.826119
3028_G2_11,3.7234635
3028_G2_12,3.610752
3028_G2_13,4.6549765
3028_G2_14,-9.4209245
3028_G2_15,-2.345363
3028_G2_16,2.5573275
3028_G2_17,-12.2448775
3028_G2_18,-8.458836
3028_G2_19,-4.9422775
3028_G2_20,1.2008515
3028_G2_21,4.2918075
3028_G2_22,1.5228175
3028_G2_23,1.5739645
3028_G2_24,-5.2576915
3028_G2_25,4.937529
3028_G2_26,-0.193854
3028_G2_27,3.5478745
3028_G2_28,1.850595
3028_G2_29,3.004259
3028_G2_30,-0.086227
3028_G2_31,4.6547435
3028_G2_32,2.543693
3028_G2_33,3.1478695
3028_G2_34,3.3912
3028_G2_35,0.5337085
3028_G2_36,1.84323
3028_G2_37,2.1906515
3028_G2_38,2.884979
3028_G2_39,2.451947
3028_G2_40,-1.5390605
3028_G2_41,1.882981
3028_G2_42,2.225501
3028_G2_43,-8.19924
3028_G2_44,2.9928495
3028_G2_45,0.559877
3028_G2_46,1.744294
3028_G2_47,4.77604
3028_G2_48,-2.348357
3028_G2_49,0.415758
3028_G2_50,1.1290355
3028_G2_51,4.428814
