id,Lactate..1
3043_G1_01,-1.44359
3043_G1_02,2.49549
3043_G1_03,2.392495
3043_G1_04,4.075045
3043_G1_05,1.79234
3043_G1_06,2.93671
3043_G1_07,1.277455
3043_G1_08,1.958455
3043_G1_09,0.815215
3043_G1_10,0.1217
3043_G1_11,1.40244
3043_G1_12,1.898605
3043_G1_13,2.750285
3043_G1_14,2.294965
3043_G1_15,-1.14998
3043_G1_16,4.46823
3043_G1_17,1.801755
3043_G1_18,0.84983
3043_G1_19,-0.38976
3043_G1_20,0.3054
3043_G1_21,2.401695
3043_G1_22,2.80514
3043_G1_23,-0.93997
3043_G1_24,0.596085
3043_G1_25,0.5906
3043_G1_26,2.35377
3043_G1_27,-0.988055
3043_G1_28,1.149835
3043_G1_29,-1.021325
3043_G1_30,-2.49363
3043_G1_31,0.49737
3043_G1_32,1.93386
3043_G1_33,3.77904
3043_G1_34,0.22421
3043_G1_35,-1.233025
3043_G1_36,-0.770365
3043_G1_37,-1.008825
3043_G1_38,-0.631025
3043_G1_39,-1.561235
3043_G1_40,1.029185
3043_G1_42,2.51485
3043_G1_43,2.119275
3043_G1_44,-1.99474
3043_G1_45,1.34486
3043_G1_46,-1.73758
3043_G1_47,-1.07024
3043_G1_48,-1.76972
3043_G1_49,3.509025
3043_G1_50,0.889635
3043_G1_51,0.73001
3043_G1_52,0.82317
3043_G1_53,-3.47059
3043_G1_54,1.240855
3043_G1_55,1.092265
3043_G1_56,-0.13083
3043_G1_57,0.82384
3043_G1_58,-2.264135
3043_G1_59,-0.324895
3043_G1_60,2.713915
3043_G1_61,-2.686595
3043_G1_62,2.18339
3043_G1_63,-0.49402
3043_G1_64,0.286675
3043_G1_65,1.94531
3043_G1_66,1.79372
3043_G1_67,-2.889135
3043_G1_68,-0.26809
3043_G1_69,0.88913
3043_G1_70,-1.173645
3043_G1_71,-0.10661
3043_G1_72,-1.12999
3043_G1_73,0.77514
3043_G1_74,-0.828425
3043_G1_75,-1.334225
3043_G1_76,1.025215
3043_G1_77,-2.89895
3043_G1_78,1.61068
3043_G1_79,0.146925
3043_G1_80,-0.59609
3043_G1_81,0.202205
3043_G1_82,0.46909
3043_G1_83,1.150455
3043_G1_84,-1.54528
3043_G1_85,-1.57415
3043_G1_86,-1.31664
3043_G1_87,-0.149735
3043_G1_88,-1.253285
3043_G1_89,-1.060515
3043_G1_90,-0.48152
3043_G1_91,0.98506
3043_G1_92,2.663125
3043_G1_93,2.205405
3043_G1_94,-1.740365
3043_G1_95,0.444615
3043_G1_96,0.40476
3043_G2_01,1.86674455
3043_G2_02,3.9948506
3043_G2_03,0.4701952
3043_G2_04,1.1583425
3043_G2_05,-0.10615
3043_G2_06,0.9893972
3043_G2_07,1.0913669
3043_G2_08,3.59555
3043_G2_09,1.04345805
3043_G2_10,0.30520845
3043_G2_11,-0.5396039
3043_G2_12,1.2884122
3043_G2_13,3.1730748
3043_G2_14,-3.5074559
3043_G2_15,1.4738021
3043_G2_16,-1.3278913
3043_G2_17,2.7762259
3043_G2_18,1.4612112
3043_G2_19,-2.20518675
3043_G2_20,1.43823925
3043_G2_21,-1.91181165
3043_G2_22,-2.22061935
3043_G2_23,0.51214525
3043_G2_24,1.588674
3043_G2_25,0.25884985
3043_G2_26,2.4224488
3043_G2_27,-3.5265221
3043_G2_28,-0.18620355
3043_G2_29,0.6904979
3043_G2_30,-0.91872135
3043_G2_31,-0.0616663999999999
3043_G2_32,2.5784569
3043_G2_33,-0.4379169
3043_G2_34,2.18353135
3043_G2_35,-3.01481925
3043_G2_36,-2.60904285
3043_G2_37,-0.1889985
3043_G2_38,-1.4803868
3043_G2_39,1.73326465
3043_G2_40,1.3396286
3043_G2_41,1.280416
3043_G2_42,-0.4953735
3043_G2_43,-1.3163972
3043_G2_44,-1.7574403
3043_G2_45,-4.2569439
3043_G2_46,1.02065925
3043_G2_47,-0.3875224
3043_G2_48,1.0368576
3043_G2_49,4.82483625
3043_G2_50,1.7525227
3043_G2_51,0.2771404
3043_G2_52,-2.0464673
3043_G2_53,-0.59382045
3043_G2_54,-1.77868515
3043_G2_55,0.10146195
3043_G2_56,-0.3002097
3043_G2_57,2.39858185
3043_G2_58,1.31207265
3043_G2_59,1.64661255
3043_G2_60,0.2734085
3043_G2_61,0.90979545
3043_G2_62,-2.1135253
3043_G2_63,-0.69769485
3043_G2_64,1.2560565
3043_G2_65,1.16218815
3043_G2_66,-0.5627767
3043_G2_67,0.2130364
3043_G2_68,-0.40079295
3043_G2_69,-1.4376326
3043_G2_70,-6.80781445
3043_G2_71,-0.02057635
3043_G2_72,1.8522262
3043_G2_73,-1.9659022
3043_G2_74,1.40718765
3043_G2_75,1.6850675
3043_G2_76,-0.9747408
3043_G2_77,-0.6463987
3043_G2_78,0.4588414
3043_G2_79,1.02462445
3043_G2_80,-0.8593495
3043_G2_81,-0.3965632
3043_G2_82,0.2723173
3043_G2_83,-0.35140455
3043_G2_84,-0.6213903
3043_G2_85,-3.9415966
3043_G2_86,-4.13607825
3043_G2_87,-0.4258615
3043_G2_88,-3.16940595
3043_G2_89,0.98469175
3043_G2_90,3.3561152
3043_G2_91,0.072779
3043_G2_92,-1.77750435
3043_G2_93,-2.05133
3043_G2_94,-0.33128925
3043_G2_95,0.334536
3043_G2_96,-0.6575354
3043_G3_01,0.9021895
3043_G3_02,0.7507605
3043_G3_03,1.035423
3043_G3_04,-0.8744125
3043_G3_05,3.8678285
3043_G3_06,-0.226038
3043_G3_07,-2.096601
3043_G3_08,-2.71015
3043_G3_09,-0.3425825
3043_G3_10,-0.0200705
3043_G3_11,0.4880015
3043_G3_12,-1.135822
3043_G3_13,1.129771
3043_G3_14,-0.7424965
3043_G3_15,0.913051
3043_G3_16,1.0037295
3043_G3_17,2.090511
3043_G3_18,0.169896
3043_G3_19,0.309998
3043_G3_20,-0.453397
3043_G3_21,-1.2037085
3043_G3_22,-1.4353685
3043_G3_23,2.2810025
3043_G3_24,2.336559
3043_G3_25,0.9405575
3043_G3_26,1.926662
3043_G3_27,2.94172
3043_G3_28,-0.03847
3043_G3_29,1.458941
3043_G3_30,0.388407
3043_G3_31,-0.158201
3043_G3_32,2.781019
3043_G3_33,0.793669
3043_G3_34,0.071978
3043_G3_35,-0.204086
3043_G3_36,-2.493207
3043_G3_37,-1.801934
3043_G3_38,-0.23167
3043_G3_39,1.046835
3043_G3_40,-0.0264785
3043_G3_41,0.5961905
3043_G3_42,0.5867935
3043_G3_43,-1.348053
3043_G3_44,-0.2920625
3043_G3_45,-3.314501
3043_G3_46,-4.1834875
3043_G3_47,-1.829174
3043_G3_48,-3.0171195
3043_G3_49,4.1084525
3043_G3_50,1.259493
3043_G3_51,-1.6797615
3043_G3_52,-1.0388365
3043_G3_53,0.7458685
3043_G3_54,1.1293755
3043_G3_55,-1.607005
3043_G3_56,0.868409
3043_G3_57,2.278778
3043_G3_58,1.574299
3043_G3_59,0.522083
3043_G3_60,1.7700335
3043_G3_61,-1.502529
3043_G3_62,-2.617743
3043_G3_63,-0.2436855
3043_G3_64,-0.4662505
3043_G3_65,2.3834485
3043_G3_66,1.2317655
3043_G3_67,2.1196545
3043_G3_68,0.474765
3043_G3_69,2.173154
3043_G3_70,1.0668015
3043_G3_71,-0.9374455
3043_G3_72,0.587429
3043_G3_73,2.832622
3043_G3_74,5.5720705
3043_G3_75,1.894689
3043_G3_76,-0.478072
3043_G3_77,-0.616632
3043_G3_78,1.5876325
3043_G3_79,-2.609146
3043_G3_80,-0.129666
3043_G3_81,-0.798715
3043_G3_82,-0.073473
3043_G3_83,0.1872475
3043_G3_84,-1.0038835
3043_G3_85,1.934106
3043_G3_86,-0.0474945
3043_G3_87,-3.697346
3043_G3_88,0.962568
3043_G3_89,-2.7798665
3043_G3_90,3.38702
3043_G3_91,4.095617
3043_G3_92,-0.13465
3043_G3_93,1.991567
3043_G3_94,0.6641535
3043_G3_95,2.363562
3043_G3_96,0.8815765
3043_G4_01,0.521065
3043_G4_03,1.4642033
3043_G4_04,1.1921797
3043_G4_05,3.14564995
3043_G4_06,0.0894684
3043_G4_07,3.84712645
3043_G4_08,0.5333759
3043_G4_09,0.82675595
3043_G4_11,-0.3829888
3043_G4_12,0.89013115
3043_G4_13,-2.27971725
3043_G4_14,-0.19346675
3043_G4_15,1.4959294
3043_G4_16,3.5744417
3043_G4_17,0.0712262
3043_G4_19,-2.6882787
3043_G4_20,-0.0633016
3043_G4_21,-2.9841929
3043_G4_22,-1.46163875
3043_G4_23,1.213715
3043_G4_24,-0.02757635
3043_G4_25,1.5180676
3043_G4_26,2.60266945
3043_G4_27,0.6837227
3043_G4_28,-0.469447
3043_G4_29,-1.5959373
3043_G4_30,-3.446911
3043_G4_31,-2.1747866
3043_G4_32,-0.3042621
3043_G4_33,2.42825165
3043_G4_34,1.44004865
3043_G4_35,-2.46138505
3043_G4_36,-2.22001765
3043_G4_37,-3.36744395
3043_G4_38,0.6898444
3043_G4_39,0.80847385
3043_G4_40,-1.8536843
3043_G4_41,0.71161365
3043_G4_42,-1.14781975
3043_G4_43,1.1273832
3043_G4_44,-2.58335755
3043_G4_45,-0.5851614
3043_G4_46,-0.95817535
3043_G4_47,-2.38864915
3043_G4_48,-0.0551859499999999
3043_G4_49,2.87515065
3043_G4_50,1.93111045
3043_G4_51,0.61194645
3043_G4_52,-1.79866015
3043_G4_53,-1.71408705
3043_G4_54,0.6947124
3043_G4_55,0.09080025
3043_G4_56,0.23813225
3043_G4_57,1.163778
3043_G4_58,1.64273765
3043_G4_59,-2.0138407
3043_G4_60,2.52909165
3043_G4_61,1.29475535
3043_G4_62,-2.47145365
3043_G4_63,-0.4987974
3043_G4_64,2.08555815
3043_G4_65,-1.8678705
3043_G4_66,-0.6706388
3043_G4_67,-1.20467535
3043_G4_69,-0.77195435
3043_G4_70,-1.2436349
3043_G4_71,-1.4603172
3043_G4_72,-0.88316465
3043_G4_73,2.68944255
3043_G4_74,1.2985141
3043_G4_75,0.81363855
3043_G4_76,2.0195226
3043_G4_77,-0.55720715
3043_G4_78,2.9304264
3043_G4_79,-1.7231809
3043_G4_80,-0.64956995
3043_G4_81,1.0471782
3043_G4_82,-1.53632075
3043_G4_83,-0.0659261
3043_G4_84,0.1009561
3043_G4_85,0.5986302
3043_G4_86,-0.0111751
3043_G4_87,-3.24811825
3043_G4_88,-1.8689135
3043_G4_89,0.02552385
3043_G4_91,-3.00383785
3043_G4_92,-0.83952485
3043_G4_93,3.56966755
3043_G4_94,-2.28061285
3043_G4_95,0.465025
3043_G4_96,-0.3357105
3043_G5_01,-0.8145345
3043_G5_02,3.540344
3043_G5_03,0.4980305
3043_G5_04,1.355003
3043_G5_05,-0.147107
3043_G5_06,0.0496
3043_G5_07,0.858827
3043_G5_08,-1.498101
3043_G5_09,3.178144
3043_G5_10,1.8187405
3043_G5_11,0.191487
3043_G5_12,2.2305425
3043_G5_13,-1.052751
3043_G5_14,-0.3583135
3043_G5_15,-0.508076
3043_G5_16,-0.3882365
3043_G5_17,2.2330435
3043_G5_18,-1.1642395
3043_G5_19,-1.3251715
3043_G5_20,-1.9125665
3043_G5_21,-5.312688
3043_G5_22,-0.7776135
3043_G5_23,-0.633383
3043_G5_24,-1.684987
3043_G5_25,1.8325045
3043_G5_26,4.412276
3043_G5_27,0.128028
3043_G5_28,1.8778845
3043_G5_29,1.7087705
3043_G5_30,0.0600045
3043_G5_31,-0.5807365
3043_G5_32,1.343151
3043_G5_33,4.5556765
3043_G5_34,1.52774
3043_G5_35,0.498862
3043_G5_37,-6.5164015
3043_G5_38,0.115934
3043_G5_39,0.6731755
3043_G5_40,0.8814685
3043_G5_41,2.0181315
3043_G5_42,2.2164665
3043_G5_43,-0.7869525
3043_G5_44,0.8871035
3043_G5_45,-0.400842
3043_G5_46,2.648259
3043_G5_47,1.5168355
3043_G5_48,-1.4835505
3043_G5_49,0.4262685
3043_G5_50,2.7078925
3043_G5_51,1.7793755
3043_G5_52,-2.0741795
3043_G5_53,-0.838589
3043_G5_54,-1.146195
3043_G5_55,1.5621445
3043_G5_56,-0.08562
3043_G5_57,2.405995
3043_G5_58,0.025869
3043_G5_59,0.8744845
3043_G5_61,-1.1375225
3043_G5_62,-3.2038215
3043_G5_63,-0.5820265
3043_G5_64,-0.9931865
3043_G5_66,1.3312905
3043_G5_67,1.834059
3043_G5_68,-1.32397
3043_G5_69,1.500129
3043_G5_70,-0.739223
3043_G5_71,0.344863
3043_G5_72,-3.5952785
3043_G5_73,4.779286
3043_G5_74,-0.3942845
3043_G5_75,1.5356925
3043_G5_76,-1.048697
3043_G5_77,1.5395515
3043_G5_78,3.426569
3043_G5_79,0.504967
3043_G5_80,-2.3212635
3043_G5_81,2.303396
3043_G5_82,2.360305
3043_G5_83,0.8857275
3043_G5_84,-0.913701
