id,Lactate..1
3049_G1_01,-0.785276
3049_G1_02,0.637295
3049_G1_04,4.275717
3049_G1_05,2.749272
3049_G1_06,5.834344
3049_G1_07,2.1441085
3049_G1_08,2.404335
3049_G1_09,0.5026345
3049_G1_10,1.003831
3049_G1_11,1.404502
3049_G1_12,1.890893
3049_G1_14,0.762681
3049_G1_16,3.141057
3049_G1_17,2.7516505
3049_G1_18,-1.6877635
3049_G1_19,-0.8025745
3049_G1_21,2.4639475
3049_G1_22,-1.818958
3049_G1_23,-0.4904325
3049_G1_24,4.0591325
3049_G1_25,-2.024894
3049_G1_26,0.3690985
3049_G1_27,-1.427762
3049_G1_28,-3.05253
3049_G1_29,-0.826779
3049_G1_30,-1.2087
3049_G1_31,-0.479941
3049_G1_32,4.4939765
3049_G1_33,0.616045
3049_G1_34,-1.405051
3049_G1_36,1.5499925
3049_G1_37,0.424112
3049_G1_38,-0.5670705
3049_G1_39,0.321211
3049_G1_40,-2.06273
3049_G1_41,-0.718416
3049_G1_43,0.9610765
3049_G1_44,-4.310267
3049_G1_45,-0.2253535
3049_G1_46,-2.9655555
3049_G1_47,-5.0308845
3049_G1_48,-0.2346135
3049_G1_49,1.7591855
3049_G1_50,3.0897895
3049_G1_51,-1.072596
3049_G1_52,-3.5763205
3049_G1_53,-1.703359
3049_G1_54,2.2280755
3049_G1_55,0.7296605
3049_G1_56,4.0585455
3049_G1_57,0.3801895
3049_G1_58,2.1889205
3049_G1_59,0.0712275
3049_G1_60,-0.4885055
3049_G1_61,1.880819
3049_G1_62,-1.121565
3049_G1_63,2.2931925
3049_G1_64,-0.26327
3049_G1_65,-1.797602
3049_G1_66,-0.77669
3049_G1_68,-0.697212
3049_G1_69,-0.5718895
3049_G1_71,-0.8509685
3049_G1_72,-2.860158
3049_G1_73,-3.048836
3049_G1_74,0.579181
3049_G1_75,-3.0136515
3049_G1_77,-0.879926
3049_G1_78,0.0492684999999999
3049_G1_79,-2.8964445
3049_G1_80,0.163023
3049_G1_82,3.536239
3049_G1_83,0.363431
3049_G1_84,-0.906309
3049_G1_86,-2.1839725
3049_G1_87,-1.578117
3049_G1_88,-2.9764425
3049_G1_89,1.414419
3049_G1_90,0.694531
3049_G1_91,3.6364985
3049_G1_92,0.815494
3049_G1_93,0.4802995
3049_G1_94,-2.413585
3049_G1_95,-2.1027215
3049_G1_96,-3.0784465
3049_G2_02,0.02155
3049_G2_03,2.4483395
3049_G2_04,1.774386
3049_G2_05,1.639845
3049_G2_06,4.342179
3049_G2_07,-0.0863269999999999
3049_G2_08,4.752807
3049_G2_09,1.383837
3049_G2_11,-0.837743
3049_G2_12,-0.127215
3049_G2_13,1.769895
3049_G2_14,5.128941
3049_G2_15,2.122523
3049_G2_16,4.541905
3049_G2_18,0.311494
3049_G2_19,-1.6144885
3049_G2_20,0.19776
3049_G2_21,-4.008211
3049_G2_22,4.2999365
3049_G2_23,4.024106
3049_G2_24,3.2302725
3049_G2_25,2.7146475
3049_G2_27,-2.7464955
3049_G2_28,-2.223326
3049_G2_29,-0.1309845
3049_G2_30,-1.5195395
3049_G2_31,3.805231
3049_G2_32,6.598978
3049_G2_33,-1.106832
3049_G2_34,-0.9955495
3049_G2_35,-2.886534
3049_G2_36,-3.783884
3049_G2_37,-1.468144
3049_G2_39,0.504382
3049_G2_40,0.255939
3049_G2_41,-1.964133
3049_G2_42,0.256378
3049_G2_43,-1.6266195
3049_G2_44,-4.0999865
3049_G2_46,-0.777372
3049_G2_47,0.646653
3049_G2_48,-1.082142
3049_G2_49,-0.410525
3049_G2_51,-1.5593865
3049_G2_52,-1.880289
3049_G2_53,0.7738225
3049_G2_54,-3.0156215
3049_G2_55,-1.891643
3049_G2_56,0.6166485
3049_G2_57,-2.4373835
3049_G2_58,-0.456462
3049_G2_59,-3.440185
3049_G2_60,-0.569053
3049_G2_62,-1.9681715
3049_G2_65,-1.974076
3049_G2_66,-1.188435
3049_G2_67,-1.406561
3049_G2_68,-3.6567475
3049_G2_69,0.319008
3049_G2_70,0.1864085
3049_G2_71,-0.34543
3049_G2_73,-0.7014375
3049_G2_74,0.1366485
3049_G2_75,-3.372086
