id,X6.azauracil.50ug.mL.3,Cadmium_Chloride.75uM.2,Caffeine.15mM.2,Cobalt_Chloride.2mM.2,Congo_Red.75ug.mL.3,Copper_Sulfate..1,Diamide.1.5mM.3,EGTA.5mM.3,EtOH..1,EtOH_Glucose..1,Fluconazole.100uM.2,Formamide.2..2,Fructose..1,Galactose..1,Glycerol..1,Lactate..1,Lithium_Chloride.100mM.2,Magnesium_Chloride..1,Maltose..1,Manganese_Sulfate..1,Mannose..1,Methotrexate.0.4mM.2,Neomycin.5mg.mL.2,Paraquat.0.75mM.3,Raffinose..1,SDS.0.075..3,Sorbitol.1.5M.2,Sucrose..1,Trehalose..1,Tunicamycin.3uM.3,Xylose..1,YNB..1,YNB.ph3.1,YNB.ph8.1,YPD..1,YPD.15.1,YPD..2,YPD..3,YPD.37.1,Zeocin.25ug.mL.3
375_G1_01,-0.437056,0.076805,5.853255,6.44605,-3.24785,-8.240645,-2.902235,-12.8409795,-3.72476,0.95391,2.179325,3.15893,-0.5969815,-11.751905,-4.4444065,-4.566644,-8.597694,-3.01277,-12.725485,15.49729,-1.2266215,-4.247858,-0.85471,1.651365,-6.0213,4.282675,-4.1070177,-1.3769185,-1.841685,3.413572,-1.64569,42.655,0.532146,1.085214,54.675,0.0639205,56.85,57.925,-0.848195,-6.124
375_G1_02,7.575175,11.2162205,-12.40398,-2.335905,7.045205,9.304595,8.93126,18.3743885,3.595175,10.50912,1.53915,-1.18693,6.406058,-3.90375,1.36355,2.294299,-9.7610955,7.258565,12.86097,12.10319,7.9140905,-1.017415,-0.608465,8.634175,3.64861,1.32747,-5.1463091,8.0946375,4.14508,7.688394,4.05215,46.845,1.18626,3.0823675,64.075,4.5501295,68.98,68.55,7.5137,-2.875505
375_G1_03,9.8927185,-10.936536,-7.53812,-9.908045,9.33744,6.776045,8.90391,-5.309381,3.767135,8.09948,4.175095,-3.18626,6.6589715,9.811065,3.479586,0.409783,-2.402419,5.607845,12.41946,-3.66936,5.975068,-2.761015,-5.43227,-0.45137,4.84141,-26.26264,-5.6598257,6.1348815,4.43755,8.686882,3.369395,46.78,0.5035535,-0.650664,61.795,5.6692335,67.97,67.865,6.80344,-0.212045
375_G1_04,2.4227705,5.923687,0.85823,11.277065,-0.2336,-0.24333,1.285075,11.4004455,-1.202255,1.168345,1.896315,4.0107,0.082372,-10.461065,-0.1219305,0.792143,-6.9737645,-1.636015,2.57245,9.839765,1.049934,5.5805275,1.803995,0.93851,-5.007195,4.442095,-5.37276265,2.2067705,-0.326415,-1.477182,0.24401,45.325,0.0115765,0.8913055,55.9,-0.899931,59.965,58.735,1.40638,4.23962
375_G1_05,-14.5129715,-6.64417,-5.042525,-6.702485,-13.23566,-11.227465,-10.588055,-15.499933,-12.13462,-15.62568,-3.830855,-0.19458,-15.5222165,-12.09611,-11.9711385,-11.9913735,-5.9968525,-14.251155,-20.823925,-1.567525,-15.736676,-1.0333305,-8.078435,-4.683875,-12.55888,-8.929435,-5.35327185,-13.2321925,-8.498425,-13.466629,-7.79243,36.33,-2.378002,-1.2847985,42.83,-13.859306,38.61,44.045,-11.159165,-17.71068
375_G1_06,-6.664161,-8.8310065,-10.659055,6.935685,1.530925,2.869265,1.111285,-14.516341,-3.81198,-1.072175,-4.053635,1.24217,-1.993662,2.46785,-1.572368,-2.0836565,-3.2846715,-0.311795,3.05863,-10.063185,-3.948674,1.2516185,3.84404,0.0582750000000001,-7.43144,6.55757,-1.58624405,-2.01108,-4.88661,12.3046855,-4.138165,41.6,-2.8172255,-1.1913325,55.495,-3.3644135,55.31,58.115,2.018365,9.124025
375_G1_07,8.6267015,17.8349865,6.681835,-12.05618,6.04361,4.48884,6.806015,-13.9675395,2.96354,6.921755,-14.275015,0.96641,6.69152,-7.71705,1.8902215,-0.075313,-6.2427625,4.441085,13.54382,9.427245,8.059674,7.836567,-0.91552,8.181305,6.007245,5.277045,-1.68956225,8.2019905,3.594445,15.483005,2.0252,48.06,-1.6161355,-0.9520545,63.915,1.3205995,64,65.29,4.17471,-15.028445
375_G1_08,1.743246,4.956468,-4.495215,2.171595,4.974885,1.38412,2.777595,19.74895,1.055235,3.536595,8.49226,1.24937,2.8960895,-6.48248,1.661069,1.3678405,-13.531945,1.08481,6.60383,-6.859025,3.513439,2.708179,0.05643,3.491685,-2.145835,12.849605,-3.9848378,4.971509,1.923565,1.537186,1.280305,45.95,-0.2658955,-0.08956,60.075,3.4285205,61.065,59.835,2.644435,2.85908
375_G1_09,5.154835,-18.451987,-13.5675,1.27709,7.17269,4.779275,3.6485,-15.524487,3.759845,5.577665,0.04108,-2.88607,5.8133455,-4.87977,4.2765285,1.9026595,11.5536445,3.10865,-4.550625,8.132665,4.9783745,3.861587,-0.883915,-0.766355,6.902435,-2.715735,-3.2829104,4.128529,3.753975,8.7962205,4.322485,47.155,0.48619,-0.864853,60.16,0.33882,62.9,64.03,2.782095,-8.94287
375_G1_10,4.3841385,13.1876805,-9.754695,-4.995945,2.399895,2.41223,2.010525,-15.5873325,-1.50661,2.01882,-5.30831,-1.85497,3.3139485,8.847935,-0.818737,-1.0684865,-3.8306975,1.55742,-7.41905,9.79605,3.491869,1.81648,-2.124235,-2.152795,1.495345,-0.58489,-5.22711465,3.745125,-1.422685,8.4450215,-0.99873,42.77,-0.335807,0.8807685,57.47,-1.353762,60.82,62.475,0.32504,1.641465
