id,Lactate..1
375_G1_01,-4.566644
375_G1_02,2.294299
375_G1_03,0.409783
375_G1_04,0.792143
375_G1_05,-11.9913735
375_G1_06,-2.0836565
375_G1_07,-0.075313
375_G1_08,1.3678405
375_G1_09,1.9026595
375_G1_10,-1.0684865
375_G1_11,-0.860908
375_G1_12,0.9913295
375_G1_13,0.152818
375_G1_15,-0.5532895
375_G1_16,-6.0275155
375_G1_18,5.0423665
375_G1_19,0.0932395
375_G1_20,-0.386284
375_G1_21,-2.6260305
375_G1_22,1.5496495
375_G1_23,5.5457695
375_G1_24,0.775628
375_G1_25,0.356527
375_G1_26,3.529254
375_G1_27,1.5302455
375_G1_28,-1.2978975
375_G1_29,-0.1187835
375_G1_30,3.0830915
375_G1_31,2.7593535
375_G1_32,1.322351
375_G1_33,1.362421
375_G1_35,-0.718787
375_G1_36,5.1328505
375_G1_37,-1.8271105
375_G1_38,1.263104
375_G1_39,3.2035255
375_G1_40,-4.6949425
375_G1_41,-0.3175035
375_G1_42,-0.9028495
375_G1_43,1.896932
375_G1_44,1.358888
375_G1_45,-3.929151
375_G1_46,0.5258325
375_G1_47,-0.912757
375_G1_48,-0.351431
375_G1_49,-2.539508
375_G1_50,-0.803133
375_G1_51,3.436466
375_G1_52,-0.718245
375_G1_53,0.095018
375_G1_54,5.6121955
375_G1_55,5.8977305
375_G1_56,-0.7684535
375_G1_57,1.058635
375_G1_58,2.4328565
375_G1_59,-10.0333215
375_G1_60,2.760754
375_G1_62,3.2300245
375_G1_63,2.0452315
375_G1_64,-4.0984615
375_G1_65,-2.2997255
375_G1_66,0.87935
375_G1_68,-0.1693205
375_G1_69,-3.9113755
375_G1_70,-1.5165475
375_G1_71,-1.021971
375_G1_72,-1.313183
375_G1_73,-4.105231
375_G1_74,0.651388
375_G1_75,-5.0412235
375_G1_76,0.106943
375_G1_78,2.7781035
375_G1_79,0.4401505
375_G1_80,0.34194
375_G1_81,0.0894655
375_G1_82,2.7997895
375_G1_83,-8.2927825
375_G1_84,1.6275925
375_G1_85,0.603685
375_G1_86,-0.258909
375_G1_87,0.307997
375_G1_88,-3.28257
375_G1_89,-0.8599115
375_G1_90,-1.377977
375_G1_91,-6.4343055
375_G1_93,0.4454845
375_G1_94,-0.301203
375_G1_95,-0.9436785
375_G1_96,-1.4431635
375_G2_01,0.088215
375_G2_02,-3.882055
375_G2_03,5.486405
375_G2_05,4.940215
375_G2_06,-0.45647
375_G2_07,-4.469175
375_G2_08,3.931995
375_G2_09,4.16565
375_G2_10,-2.209665
375_G2_11,1.17436
375_G2_12,0.034525
375_G2_15,-3.614125
375_G2_16,-3.683845
375_G2_17,5.63031
375_G2_18,3.2191
375_G2_19,-1.71291
375_G2_20,0.66988
375_G2_21,-3.6171
375_G2_22,1.436895
375_G2_23,-5.980325
375_G2_24,1.423015
375_G2_25,1.176225
375_G2_26,-9.491425
375_G2_27,-1.664075
375_G2_28,2.140145
375_G2_29,-3.77975
375_G2_31,-1.809785
375_G2_32,-5.162185
375_G2_33,-3.706265
375_G2_34,-0.56032
375_G2_35,3.794115
375_G2_36,-1.16076
375_G2_37,-0.482645
375_G2_38,1.569485
375_G2_39,-1.94353
375_G2_40,-3.0618
375_G2_41,-4.141975
375_G2_42,0.380845
375_G2_43,1.647605
375_G2_44,-0.17248
375_G2_45,3.427945
375_G2_46,3.314355
375_G2_47,1.232315
375_G2_48,2.594115
375_G2_50,2.91001
375_G2_51,-2.991755
375_G2_53,3.56024
375_G2_55,-5.575635
375_G2_56,-2.65777
375_G2_57,0.71356
375_G2_58,-1.80375
375_G2_59,-0.785985
375_G2_60,2.434605
375_G2_61,-5.75137
375_G2_62,-2.38195
375_G2_63,1.89178
375_G2_65,3.03041
375_G2_66,-0.211695
375_G2_67,2.6487
375_G2_68,0.793505
375_G2_69,-4.774965
375_G2_70,-0.97267
375_G2_71,-1.77975
375_G2_72,-4.259455
375_G2_73,2.759165
375_G2_74,0.7965
375_G2_75,0.03063
375_G2_76,0.890285
375_G2_77,-4.90986
375_G2_78,-0.339845
375_G2_79,3.81545
375_G2_80,-0.307315
375_G2_81,-2.087545
375_G2_82,-2.30125
375_G2_83,-2.34832
375_G2_84,0.498735
375_G2_85,-0.062985
375_G2_86,1.00116
375_G2_87,-8.060145
375_G2_88,-3.755875
375_G2_89,3.516825
375_G2_91,3.766545
375_G2_92,2.91082
375_G2_93,0.98699
375_G2_94,-7.37848
375_G2_95,-2.41022
375_G2_96,0.528995
375_G3_01,-0.87177
375_G3_02,6.87572
375_G3_03,2.226325
375_G3_04,-3.21938
375_G3_05,-0.88708
375_G3_06,-0.89155
375_G3_07,0.00563999999999998
375_G3_08,6.02563
375_G3_09,0.5538
