id,Lactate..1
376_G1_01,-7.0005145
376_G1_02,-1.8892225
376_G1_03,-0.7445695
376_G1_05,-0.24062
376_G1_06,0.8817235
376_G1_08,-0.6531195
376_G1_09,1.0063395
376_G1_10,-1.1104385
376_G1_11,1.075615
376_G1_12,0.7712745
376_G1_13,-5.1090145
376_G1_15,1.091311
376_G1_17,-4.507838
376_G1_19,-3.199073
376_G1_20,-0.0430075
376_G1_22,-2.1190445
376_G1_23,3.2553805
376_G1_24,0.4367745
376_G1_25,2.4196865
376_G1_26,1.2594875
376_G1_29,0.642956
376_G1_30,2.545453
376_G1_32,0.412926
376_G1_34,2.310361
376_G1_35,-3.172201
376_G1_37,0.5854605
376_G1_38,0.441104
376_G1_39,-1.5170445
376_G1_40,-0.0932335
376_G1_41,-1.8886185
376_G1_43,-0.3282715
376_G1_44,-1.238956
376_G1_45,-1.530274
376_G1_46,-2.233199
376_G1_47,0.844485
376_G1_48,-1.064597
376_G1_49,-3.0741025
376_G1_50,2.6351935
376_G1_51,-3.0725805
376_G1_52,0.1510205
376_G1_53,-4.304753
376_G1_54,4.170826
376_G1_55,3.105055
376_G1_56,-0.248648
376_G1_57,0.0441035
376_G1_58,-0.8448655
376_G1_59,-3.7868365
376_G1_62,2.819688
376_G1_63,1.64075
376_G1_64,1.2339045
376_G1_65,-2.1761185
376_G1_66,-0.7239865
376_G1_67,-0.633927
376_G1_68,1.5121265
376_G1_69,3.48125
376_G1_70,-0.0705145
376_G1_71,5.5237365
376_G1_72,-3.7192985
376_G1_75,1.0103555
376_G1_77,4.022819
376_G1_78,4.927468
376_G1_79,-5.3801345
376_G1_82,-3.3052135
376_G1_83,-1.2683535
376_G1_84,3.934881
376_G1_86,0.494918
376_G1_87,2.953102
376_G1_88,-1.624357
376_G1_90,1.2658995
376_G1_91,-4.847265
376_G1_93,2.7134615
376_G1_94,-5.444107
376_G1_96,-5.633115
376_G2_01,-2.3422885
376_G2_03,-1.7522995
376_G2_04,2.4571205
376_G2_05,1.6838885
376_G2_06,-2.3412805
376_G2_07,-3.960897
376_G2_08,-2.957302
376_G2_10,2.6847765
376_G2_11,-0.4735595
376_G2_12,0.0475915000000001
376_G2_13,-2.8583625
376_G2_14,-2.074611
376_G2_15,-2.979772
376_G2_16,-2.827566
376_G2_17,-0.0880485
376_G2_18,-0.6577495
376_G2_19,-2.099605
376_G2_21,-3.902752
376_G2_22,-2.303225
376_G2_23,-2.2372615
376_G2_24,2.6220455
376_G2_25,2.0255155
376_G2_27,1.298367
376_G2_28,0.398799
376_G2_29,-3.728884
376_G2_30,-3.8241095
376_G2_31,-1.0747135
376_G2_32,-1.36009
376_G2_33,-2.5562025
376_G2_34,2.7181735
376_G2_37,-0.870568
376_G2_38,-3.0350095
376_G2_39,2.015332
376_G2_40,-2.4039065
376_G2_41,2.052153
376_G2_42,1.6795615
376_G2_43,1.855022
376_G2_45,-1.484083
376_G2_47,-4.312959
376_G2_48,-5.4180245
