id,Lactate..1
381_G1_01,1.3175545
381_G1_02,4.137939
381_G1_03,2.6969315
381_G1_04,0.802887
381_G1_05,-0.2401885
381_G1_06,-0.0906819999999999
381_G1_07,1.0057905
381_G1_08,-0.151676
381_G1_09,4.975017
381_G1_10,-2.2063235
381_G1_11,0.0508855
381_G1_12,4.660439
381_G1_13,0.076717
381_G1_14,-1.038353
381_G1_15,2.5030865
381_G1_16,0.0451495
381_G1_17,-0.4143995
381_G1_18,0.7119325
381_G1_19,1.786067
381_G1_20,0.3841385
381_G1_21,2.3808825
381_G1_22,-0.403842
381_G1_23,4.1283475
381_G1_24,4.05091
381_G1_25,-3.6841785
381_G1_26,-0.266158
381_G1_27,-1.446975
381_G1_28,1.317765
381_G1_29,1.4279405
381_G1_30,3.0760865
381_G1_31,4.024079
381_G1_32,1.281198
381_G1_33,0.1054995
381_G1_34,-0.351336
381_G1_35,-2.4513465
381_G1_36,-0.315995
381_G1_37,-4.1515865
381_G1_38,1.6070385
381_G1_39,1.344886
381_G1_40,-0.8733455
381_G1_41,0.846679
381_G1_42,-0.957191
381_G1_43,1.2579095
381_G1_44,-2.5932295
381_G1_45,-4.0212045
381_G1_46,0.2839595
381_G1_47,-0.0329235
381_G1_48,-0.540368
381_G1_50,1.513478
381_G1_51,-0.7530115
381_G1_52,-1.667337
381_G1_53,-0.1462385
381_G1_54,1.16749
381_G1_55,-1.2832775
381_G1_56,2.6418715
381_G1_57,-4.0078755
381_G1_58,0.067905
381_G1_59,-1.8210725
381_G1_60,-1.11972
381_G1_61,-3.261325
381_G1_62,1.2875035
381_G1_63,0.4264485
381_G1_64,-0.1756895
381_G1_65,-1.5244655
381_G1_66,-2.1469035
381_G1_67,-7.097875
381_G1_68,-3.2757485
381_G1_69,1.779723
381_G1_70,0.64008
381_G1_71,-0.835084
381_G1_72,2.1140515
381_G1_73,-2.656714
381_G1_74,2.68225
381_G1_76,-0.0519025
381_G1_77,-3.775874
381_G1_78,0.3500685
381_G1_79,-0.427086
381_G1_81,-1.7445165
381_G1_82,4.075198
381_G1_83,0.3979825
381_G1_84,0.846823
381_G1_85,1.3776
381_G1_86,-0.2129795
381_G1_87,-0.2929255
381_G1_88,-0.00408350000000002
381_G1_89,-3.2815055
381_G1_90,1.021083
381_G1_91,0.3767425
381_G1_92,1.5540365
381_G1_93,3.4863205
381_G1_94,2.6459635
381_G1_95,0.3614215
381_G1_96,1.468606
381_G2_01,-0.791602
381_G2_02,-2.1539635
381_G2_03,1.0667975
381_G2_04,-2.7985465
381_G2_05,-2.7698265
381_G2_06,0.9588795
381_G2_07,-1.798116
381_G2_08,3.400667
381_G2_09,-1.5603795
381_G2_11,-2.887328
381_G2_12,-1.1158415
381_G2_13,-0.613961
381_G2_14,3.9458175
381_G2_15,-3.0344
381_G2_16,3.3465515
381_G2_17,-1.823675
381_G2_18,-0.9488565
