id,Lactate..1
393_G1_01,-1.071097
393_G1_03,0.668993
393_G1_04,7.1584535
393_G1_05,4.534261
393_G1_07,-0.63988
393_G1_08,-3.4915325
393_G1_09,-1.4076515
393_G1_10,2.224405
393_G1_11,0.888794
393_G1_13,1.8635795
393_G1_14,1.513107
393_G1_15,0.273081
393_G1_16,-2.4907935
393_G1_18,2.951546
393_G1_19,3.4390475
393_G1_20,0.375836
393_G1_22,0.1788825
393_G1_23,0.545331
393_G1_24,-3.433012
393_G1_26,0.077742
393_G1_27,-0.1083695
393_G1_29,1.193643
393_G1_30,3.7220675
393_G1_31,0.428127
393_G1_32,3.267786
393_G1_34,2.5904365
393_G1_35,-0.8609065
393_G1_37,-2.186066
393_G1_38,3.1174125
393_G1_39,-2.341446
393_G1_40,2.5646245
393_G1_41,0.7732605
393_G1_42,0.78654
393_G1_43,-2.4669425
393_G1_44,-0.569024
393_G1_45,-2.3620855
393_G1_46,2.4290385
393_G1_47,1.1763355
393_G1_48,-0.692119
393_G1_49,0.1929005
393_G1_50,0.14554
393_G1_51,-3.5990725
393_G1_52,-2.998375
393_G1_53,3.7932645
393_G1_55,0.8446045
393_G1_57,0.0773905
393_G1_58,2.817153
393_G1_59,0.2899715
393_G1_60,0.5066855
393_G1_61,-0.8849735
393_G1_62,0.053147
393_G1_63,2.0597065
393_G1_64,-2.3729585
393_G1_65,-2.4910215
393_G1_66,0.134445
393_G1_67,-3.4538945
393_G1_69,3.3145035
393_G1_70,-3.772278
393_G1_71,-1.0581735
393_G1_72,-1.636674
393_G1_73,2.3149735
393_G1_74,3.2975475
393_G1_75,-3.603946
393_G1_76,2.488121
393_G1_77,-1.0458335
393_G1_78,-0.023239
393_G1_79,-0.9082395
393_G1_81,-1.7107125
393_G1_82,2.236154
393_G1_83,-1.671873
393_G1_84,-2.9852875
393_G1_85,1.233452
393_G1_86,-2.7006305
393_G1_88,-0.514358
393_G1_89,-2.384462
393_G1_91,1.6331945
393_G1_92,-2.2864195
393_G1_93,1.93241
393_G1_94,-2.049606
393_G2_01,-0.0356319999999999
393_G2_02,1.488216
393_G2_03,-1.776946
393_G2_05,-1.991611
