id,X6.azauracil.50ug.mL.3,Cadmium_Chloride.75uM.2,Caffeine.15mM.2,Cobalt_Chloride.2mM.2,Congo_Red.75ug.mL.3,Copper_Sulfate..1,Diamide.1.5mM.3,EGTA.5mM.3,EtOH..1,EtOH_Glucose..1,Fluconazole.100uM.2,Formamide.2..2,Fructose..1,Galactose..1,Glycerol..1,Lactate..1,Lithium_Chloride.100mM.2,Magnesium_Chloride..1,Maltose..1,Manganese_Sulfate..1,Mannose..1,Methotrexate.0.4mM.2,Neomycin.5mg.mL.2,Paraquat.0.75mM.3,Raffinose..1,SDS.0.075..3,Sorbitol.1.5M.2,Sucrose..1,Trehalose..1,Tunicamycin.3uM.3,Xylose..1,YNB..1,YNB.ph3.1,YNB.ph8.1,YPD..1,YPD.15.1,YPD..2,YPD..3,YPD.37.1,Zeocin.25ug.mL.3
A01_01,3.2459205,-11.052077,-7.38681,-15.692525,5.43774,3.03115,5.0441025,8.871038,1.787834,3.8011205,-2.445155,-1.5454345,3.88261,3.969562,3.87701,2.2293735,-21.30535,4.372916,-10.039005,7.666045,5.1751615,-6.56454,-8.943044,4.7606615,-0.798805,3.8411055,-8.824787,6.04535,2.897678,-0.364825,1.556175,47.845,1.6847309,0.44005,61.985,5.5923745,64.295,64.025,8.50894,10.287455
A01_02,5.2320775,-14.0107995,-1.46376,3.817045,7.81583,8.896381,7.841674,16.401611,3.469833,6.090272,10.43117,-4.4309445,6.7674255,5.1321865,3.88649,2.1192055,1.5341,6.836331,-7.305505,2.421885,7.6736225,-5.450175,2.076133,5.343588,7.726548,-26.040123,-1.6397045,7.96479,3.1243045,6.8443,4.46715,47.64,2.57843335,-0.26356,63.36,5.5154095,67.685,68.005,11.211825,12.499055
A01_03,3.8772235,14.629484,0.655635,2.20333,2.884605,4.802343,1.969619,12.836913,2.282781,3.0313695,5.648825,-2.661916,1.547971,3.02909,2.903975,1.1817345,2.80045,1.9383735,9.73906,1.64688,3.0679135,-6.029005,-0.679254,-4.636314,3.6755685,10.685225,-2.425937,4.19053,3.455038,-6.215465,2.625745,44.54,0.90345725,-1.071305,59.48,3.073495,64.31,64.36,6.226055,-14.241735
A01_04,-3.448336,-9.86932,8.991635,-8.275575,-5.19722,-2.792168,-4.6867435,3.678124,-3.7443845,-6.160311,-3.771755,-0.2134795,-3.3589945,-4.218081,-1.657515,-0.9907625,1.22385,-4.9089405,1.547945,5.621985,-3.561501,0.508895,-10.921469,-5.0405465,-3.1410075,-1.9994765,-6.9953175,1.07207,-1.8704275,-10.92689,-1.649935,43.5,0.08671145,-0.52294,52.255,-0.870391,53.13,55.085,-1.411235,-6.84916
A01_05,4.08482,15.375395,2.240635,6.36772,7.32546,9.0426485,6.8272045,13.5056375,4.590665,8.9075835,2.668745,-4.0035185,8.403658,7.192426,5.16843,4.4934015,-10.29935,8.0199265,9.43732,4.629975,8.666766,0.49792,-3.744984,2.050555,2.816634,-0.424799,-0.306464,10.309525,4.533072,1.80486,4.750125,47.39,-0.5309963,2.352695,65.785,0.4783735,68.4,69.17,13.70824,-1.32407
A01_06,0.1964895,17.245506,-12.826365,0.1612,-3.96704,4.246147,-1.027868,-1.172188,1.151043,-0.0903585,4.23313,-1.196398,-0.9476225,3.404542,-0.141015,0.0703475,5.43515,1.6715885,6.353425,4.808065,1.038889,1.48123,5.72909,4.0923605,-0.6537555,-0.834801,2.043214,0.613675,1.6608975,1.912315,1.671965,44.085,-0.6703801,-0.0962099999999999,56.94,-4.0757735,58.35,60.275,2.62999,-5.834765
A01_07,2.9112305,-15.1800465,-13.54824,-1.838335,4.195605,2.1314825,4.1997,13.3939055,0.9747755,0.620149,-13.455895,1.412748,-0.677708,-0.1347765,-0.446925,-2.319267,-9.84175,0.873481,1.22765,-9.94958,-0.254399,2.102535,8.76218,6.0611375,-1.7569965,7.4891975,0.2188205,2.70358,1.169726,7.48671,0.275325,43.9,0.64443545,1.270895,55.72,-2.8730235,60.675,63.96,-4.278015,6.314155
A01_08,-0.7757735,-5.898861,4.16156,-6.84795,-1.61128,-7.690148,-0.331355,10.6344815,-3.604585,-1.7479455,-12.68369,1.1898805,-0.7088755,-1.580491,-1.632585,-2.589222,-11.9619,-0.962421,0.00639000000000001,-4.747475,0.3607035,-2.76864,1.7646485,1.422534,-3.75599,0.0511545,-2.142575,-1.599645,-1.7181055,-0.486395,-1.36571,42.76,-0.98467155,-0.08479,56.055,-4.741578,59.87,58.755,3.09083,-6.87875
A01_09,-5.356438,-14.6229075,-14.71499,-6.00227,-4.67208,-3.679109,-5.7502355,-21.8368475,-6.280959,-4.55,-6.086175,-3.439634,-6.0374315,-5.0791685,-3.821485,-5.413279,15.02385,-5.702391,-5.404275,-4.63615,-7.99961,-0.6973,7.538762,8.2033045,-6.0592455,-8.611136,-5.390663,-1.69435,-3.5390005,-4.150565,-3.0989,40,-0.0751396999999999,-0.40241,51.3,-6.9789305,54.955,56.82,-7.69424,7.81316
A01_10,3.135128,-19.9374285,2.292325,-8.105565,0.898445,4.5420105,0.762621,-2.713846,-1.150893,2.8115315,5.43808,-2.557069,1.518551,1.658305,1.09739,0.394012,1.0998,2.3180015,6.229755,-3.86794,3.9534875,-1.06913,-6.7678705,-3.6050745,0.1277405,2.1184795,-1.3897425,3.03214,1.2168295,2.68624,2.1871,44.995,2.40401715,0.74075,58.465,0.3504455,59.425,62.75,0.547535,-7.286765
