id,Lactate..1
A01_01,2.2293735
A01_02,2.1192055
A01_03,1.1817345
A01_04,-0.9907625
A01_05,4.4934015
A01_06,0.0703475
A01_07,-2.319267
A01_08,-2.589222
A01_09,-5.413279
A01_10,0.394012
A01_11,5.527068
A01_12,2.634808
A01_13,0.1622595
A01_14,2.5525545
A01_15,2.0224125
A01_16,1.789517
A01_17,3.9280415
A01_18,-0.5410695
A01_19,0.0646475000000001
A01_20,-1.7268165
A01_21,2.378412
A01_22,3.645978
A01_23,-2.389676
A01_24,1.713077
A01_25,0.2166315
A01_26,-1.446403
A01_27,1.3112325
A01_28,1.1950785
A01_29,-0.666735
A01_30,0.591196
A01_31,-3.2252135
A01_32,1.147039
A01_33,6.1419705
A01_34,2.468402
A01_35,-0.620948
A01_36,0.989098
A01_37,4.193499
A01_38,1.39909
A01_39,0.001758
A01_40,0.5420285
A01_41,-3.8376685
A01_42,-3.0135635
A01_43,3.5012275
A01_44,-2.0575995
A01_45,0.271789
A01_46,-1.115231
A01_47,-1.351977
A01_48,-0.413982
A01_49,-2.6633315
A01_50,1.488464
A01_51,0.6470175
A01_52,-1.1103895
A01_53,-4.96191
A01_54,-0.641931
A01_55,0.289785
A01_56,0.3375385
A01_57,-2.1256735
A01_58,0.989581
A01_59,-0.549533
A01_60,-2.588659
A01_61,-0.9638335
A01_62,1.1903985
A01_63,-2.23336
A01_64,3.303764
A01_65,3.2681705
A01_66,1.7146915
A01_67,4.1974175
A01_68,-2.3562765
A01_69,-2.751131
A01_70,-0.0397795
A01_71,0.3863495
A01_72,0.0170385
A01_73,4.296905
A01_74,2.2569745
A01_75,3.011706
A01_76,2.14344
A01_77,0.2173395
A01_79,4.178906
A01_80,-1.7415805
A01_81,-1.5322745
A01_82,-2.4020565
A01_83,-2.854463
A01_84,0.2108955
A01_85,-1.1330835
A01_86,4.886701
A01_87,0.4482395
A01_88,1.344353
A01_89,2.611392
A01_90,-0.2583385
A01_91,5.1577795
A01_92,1.877038
A01_93,0.295411
A01_94,-2.0518835
A01_95,0.1338195
A01_96,-3.4992485
A02_01,-0.881173
A02_02,1.47875
A02_03,-1.3311635
A02_04,-2.8656405
A02_05,2.5846455
A02_06,0.3491625
A02_07,1.726307
A02_08,3.7423015
A02_09,-3.8360945
A02_10,1.09094
A02_11,-4.3079075
A02_12,-1.8091525
A02_13,3.665615
A02_14,-1.9172435
A02_15,2.4271565
A02_16,2.334535
A02_17,-1.0772645
A02_18,-13.7988305
A02_19,-3.313107
A02_20,4.070277
A02_21,2.4669425
A02_22,6.1719115
A02_23,-3.0365345
A02_24,-0.354913
A02_25,6.11808
A02_26,-2.034261
A02_27,-0.7163195
A02_29,1.7192555
A02_30,1.640119
A02_31,2.4862875
A02_32,2.962628
A02_33,2.822129
A02_34,1.3574685
A02_35,0.063345
A02_36,1.9478055
A02_37,1.0137745
A02_38,1.2304425
A02_39,-0.00448699999999991
A02_40,3.305998
A02_41,0.677408
A02_43,-2.249156
A02_44,-0.6692505
A02_45,-0.2507555
A02_46,0.6289515
A02_47,4.1447665
A02_48,-2.1550975
A02_49,-1.8724395
A02_50,1.861126
A02_51,4.2415675
A02_52,-1.797766
A02_53,2.606157
A02_54,0.219642
A02_55,-1.249083
A02_56,3.4132505
A02_57,-1.31688
A02_58,-0.0175815
A02_59,-1.379247
A02_60,-2.934305
A02_61,2.186469
A02_62,2.35716
A02_63,3.050215
A02_64,2.457552
A02_65,-0.05835
A02_66,-6.1686955
A02_67,-5.28636
A02_68,-5.936887
A02_69,-1.36324
A02_70,0.623405
A02_71,0.0313880000000002
A02_72,-3.230267
A02_73,-2.1864855
A02_74,-3.9251255
A02_75,0.5261635
A02_76,1.6439535
A02_77,-0.3879005
A02_78,-1.7831515
A02_79,-0.9494525
A02_80,-6.8331435
A02_81,0.436338
A02_82,0.652258
A02_83,-0.289718
A02_84,-0.1946525
A02_85,-0.72536
A02_86,3.736593
A02_87,4.2720715
A02_88,2.6432435
A02_89,0.335203
A02_90,-5.95537
A02_91,0.3588875
A02_92,-0.841467
A02_93,0.995592
A02_94,-1.490164
A02_95,-1.4163025
A02_96,-0.0256265
A03_01,0.225644
A03_02,-1.8913665
A03_03,4.010936
A03_04,-1.1389675
A03_05,-5.400184
A03_06,2.1771535
A03_07,-3.3274055
A03_08,2.8504715
A03_09,-4.830813
A03_10,-1.0529535
A03_11,-0.6559745
A03_12,-4.893206
A03_13,0.728644
A03_14,-2.0189825
A03_15,0.026048
A03_16,3.2106875
A03_17,-2.3405295
A03_18,1.488573
A03_19,1.79135
A03_20,-0.3835915
A03_21,-1.32444
A03_22,1.5409595
A03_23,-0.7738275
A03_24,0.3094775
A03_25,3.017594
A03_26,-0.3295265
A03_27,6.4907745
A03_28,-1.4566045
A03_29,-1.734117
A03_30,-1.909443
A03_31,1.0699265
A03_32,-0.8282715
A03_33,0.795684
A03_34,-0.4139385
A03_35,3.25028
A03_36,-4.2891535
A03_37,-0.4328825
A03_38,-0.9295535
A03_39,-2.66608
A03_40,-0.299516
A03_41,-5.4599095
A03_42,-3.0727705
A03_43,1.1437475
A03_44,0.896363
