sample	AA	BB	CC	DD	EE	FF	GG	HH	II	JJ	KK	LL	MM	NN	OO	PP	QQ	RR	SS
MAGIC.1	2.43804551068871e-10	1.10260170790387e-07	7.80247491916261e-08	1.10148114288302e-07	1.74107999859976e-07	1.74744719578572e-07	1.10148136213363e-07	1.86868062750839e-08	1.7410975798369e-07	1.02543161086967e-07	1.74056196930685e-07	1.93068958904361e-07	7.80246452483348e-08	1.74239612450304e-07	1.74060105993922e-07	7.80246453326965e-08	1.02542676218924e-07	9.29695516510939e-08	0.999997879996188
MAGIC.10	1.26612403278802e-09	1.2207659115947e-06	7.65654510411647e-07	1.48679964507994e-06	0.00316126263522104	0.000673447978941762	1.19004383520527e-06	1.36427678357868e-07	6.18849995803831e-06	4.16176613890113e-07	0.996142816178294	4.09668482020455e-06	2.44572244069393e-07	7.21972786513325e-07	4.25696250085508e-06	2.44117284100158e-07	2.42921827555342e-07	8.04783397153191e-07	4.55558407220344e-07
MAGIC.100	2.25867658398292e-10	1.2577243673327e-07	9.13171554059135e-08	1.68513499768394e-07	0.999988332310151	2.51389807877573e-06	6.67256720507011e-07	2.81845199423816e-08	1.06660726721579e-06	9.45906505073515e-08	5.29984977012844e-06	2.94630992354725e-07	8.92495320044167e-08	2.59050286535304e-07	4.65893705311624e-07	8.92516216850936e-08	9.45921097244525e-08	1.41917245553594e-07	1.76888373461628e-07
MAGIC.101	2.60119013049652e-10	1.44844056740711e-07	1.00865709414481e-07	1.96762207248644e-07	1.51626102885454e-05	3.25202868125181e-06	2.296025498706e-07	3.21704578048724e-08	1.38074296861507e-06	1.08282713213273e-07	0.999925694910149	7.09397995272144e-06	1.02283281469791e-07	3.1381667810086e-07	4.55819720485666e-05	1.02225428426745e-07	1.07747511445421e-07	1.88074676869328e-07	2.06820517759531e-07
MAGIC.102	3.1366820330491e-10	1.72570865089635e-07	8.66073381782156e-08	3.4200886610574e-07	1.96192554289033e-07	1.96197685360497e-07	0.999997552038324	2.756502928259e-08	1.95269063654117e-07	9.30191230410379e-08	1.96192746161545e-07	1.10395353014649e-07	8.66073384144115e-08	1.21926928447573e-07	1.95269431498825e-07	8.66078621761747e-08	9.36373453044572e-08	1.37447730266137e-07	1.10132741468709e-07
MAGIC.103	3.14171350460319e-10	1.7280026907403e-07	8.60159589660147e-08	0.99999723794432	1.65727163343176e-07	1.64898155224674e-07	3.425018373212e-07	8.00642324801285e-08	1.63354435086078e-07	9.3087140074944e-08	1.65804624408391e-07	1.10536517530221e-07	8.60161928931203e-08	1.21900879512984e-07	1.6343241794958e-07	8.60161928978514e-08	9.33432126490031e-08	5.55960556147636e-07	1.10281721467896e-07
MAGIC.104	1.56925382998844e-10	1.40351648709746e-07	4.29721781564116e-06	8.64650996971487e-08	8.68430422651003e-08	8.68414291966125e-08	8.71691306688652e-08	2.0622494643112e-08	8.68392216539649e-08	7.8270648797437e-08	8.69003183982535e-08	7.8603783883808e-08	9.85730172277422e-06	1.390997542554e-07	8.68989776997244e-08	0.99998451998711	7.827283884808e-08	1.03617638433141e-07	7.85404043305838e-08
MAGIC.105	3.7108168313469e-11	2.04300801474199e-08	2.03585224181848e-08	7.89062422893334e-08	2.75638294644485e-08	2.75638306353476e-08	2.73643553195181e-08	0.99999950105569	2.74711194578929e-08	1.84815784966827e-08	2.75638294650745e-08	1.85882229581519e-08	2.03585224181858e-08	2.05096588639769e-08	2.74711195408863e-08	2.0358522666705e-08	1.84810627906388e-08	7.88626143939956e-08	1.85740870227281e-08
MAGIC.106	2.24943283635231e-10	1.24399478242696e-07	8.71425549133e-08	1.66521281413667e-07	2.49509474689215e-06	0.999991924472916	1.98313306881741e-07	2.80278510590626e-08	5.07534539716492e-07	9.42697555674718e-08	2.26761187124052e-06	8.00190735233196e-07	8.70848670407198e-08	2.57534926407695e-07	4.6404045936842e-07	8.70848645829546e-08	9.38008235393798e-08	1.40111707340352e-07	1.76538379424096e-07
MAGIC.107	5.47760509622997e-10	7.9771125554117e-07	2.02207265736997e-07	1.01894448394889e-06	0.00251152033074373	0.000314395941451058	6.05818892946584e-07	7.17763963108232e-08	4.33093907456382e-06	2.14782873046194e-07	0.997135125336049	2.51566899404683e-06	2.24478476040622e-07	7.69655220720052e-07	2.49147375106114e-05	2.24479579809558e-07	2.11904987684194e-07	2.38172595904309e-06	4.73013028422165e-07
