parental	fit1.coef	fit1.SE	blup.coef	blup.SE
AA	1.48017313029928	1.71752832826005	1.35773570919336	1.62299202637009
BB	-2.77913615618129	1.4788141118349	-2.50774193472581	1.41754068070659
CC	0.150122584083029	1.87415663970943	0.169333264455175	1.753023746378
DD	3.34088518617259	1.54641055017716	3.07129347509239	1.47619848418273
EE	1.63355805265654	1.51872267424244	1.53287402963596	1.45293473755767
FF	1.48964325467989	1.62818699650639	1.38402473710885	1.54647803507299
GG	3.72111686441395	1.48471524496755	3.44990180003934	1.42249651572008
HH	-19.4340116731993	1.23360391361173	-18.2517931920698	1.19741143167478
II	-1.1910666994097	1.32463438090543	-1.07181867352294	1.27884254293566
JJ	1.80961870243262	1.3812185382611	1.71975816617436	1.33084352943114
KK	-0.124133825438641	1.27563582235757	-0.0750688771142789	1.23571768570628
LL	3.6377959410862	1.53129505343035	3.35807745341627	1.46285193061831
MM	0.990415700041964	1.61539344371049	0.940779741025604	1.53498271820486
NN	3.97143298814311	1.82243705797228	3.53154875571432	1.71024565073855
OO	1.03652123545975	1.57310384073471	0.979202996916735	1.50025095994221
PP	0.851213844838504	1.46728510805402	0.826145356612214	1.40794771101472
QQ	-1.14108563264909	1.43846995650041	-1.01207245239428	1.3813968548056
RR	-0.838412543382233	1.31783610773762	-0.74232471385957	1.27377885251613
SS	1.39534904595277	1.3229668480964	1.34014435830156	1.27986775644474
intercept	42.3528516608251	1.51263674016608	42.3119303547668	0.339501251558458
