# Arabidopsis MAGIC phenotype data,
# nrow 677,
# ncol 2,
id,height
MAGIC.1,NA
MAGIC.2,42.33
MAGIC.3,50
MAGIC.4,NA
MAGIC.5,42.25
MAGIC.6,NA
MAGIC.7,37.35
MAGIC.8,43.23
MAGIC.9,42.4
MAGIC.10,48.5
MAGIC.11,36.25
MAGIC.12,49.35
MAGIC.14,48.5
MAGIC.15,41.9
MAGIC.16,18.17
MAGIC.17,48.1
MAGIC.18,39.25
MAGIC.19,44.35
MAGIC.20,27.55
MAGIC.21,NA
MAGIC.22,47.6
MAGIC.23,38.5
MAGIC.24,21.45
MAGIC.25,47.23
MAGIC.26,NA
MAGIC.27,54.65
MAGIC.28,NA
MAGIC.29,45.5
MAGIC.30,41.75
MAGIC.31,26.17
MAGIC.32,NA
MAGIC.33,52.25
MAGIC.34,40.33
MAGIC.35,NA
MAGIC.36,NA
MAGIC.37,42.5
MAGIC.38,NA
MAGIC.39,44.3
MAGIC.40,44.67
MAGIC.41,33.5
MAGIC.42,37.83
MAGIC.43,39.93
MAGIC.44,45.17
MAGIC.45,NA
MAGIC.46,35.37
MAGIC.47,43.25
MAGIC.48,31.75
MAGIC.49,43.75
MAGIC.50,42.87
MAGIC.51,18.2
MAGIC.52,NA
MAGIC.53,39.57
MAGIC.54,33.25
MAGIC.55,47.67
MAGIC.56,49.33
MAGIC.57,38.2
MAGIC.58,NA
MAGIC.59,NA
MAGIC.60,47.4
MAGIC.61,34.4
MAGIC.62,NA
MAGIC.63,47.8
MAGIC.64,23.93
MAGIC.65,NA
MAGIC.66,NA
MAGIC.67,NA
MAGIC.68,NA
MAGIC.69,48.8
MAGIC.70,42.8
MAGIC.71,45.6
MAGIC.72,NA
MAGIC.73,55.25
MAGIC.74,39.17
MAGIC.75,48.85
MAGIC.77,38.5
MAGIC.78,44.85
MAGIC.79,22.83
MAGIC.80,52.25
MAGIC.81,46.97
MAGIC.82,29.5
MAGIC.83,NA
MAGIC.84,53.73
MAGIC.85,44.27
MAGIC.86,44.13
MAGIC.87,49.75
MAGIC.88,44.1
MAGIC.89,44.8
MAGIC.90,45.95
MAGIC.91,NA
MAGIC.92,46.3
MAGIC.93,NA
MAGIC.94,39.2
MAGIC.95,36.17
MAGIC.96,42.25
MAGIC.97,42.2
MAGIC.98,NA
MAGIC.99,45.25
MAGIC.100,51.43
MAGIC.101,NA
MAGIC.102,41.75
MAGIC.103,36.45
MAGIC.104,NA
MAGIC.105,12.5
MAGIC.106,48.5
MAGIC.107,37.43
MAGIC.108,39.5
MAGIC.109,43.7
MAGIC.110,43
MAGIC.111,41.33
MAGIC.112,42
MAGIC.113,33
MAGIC.114,57.17
MAGIC.115,52.6
MAGIC.116,46.57
MAGIC.117,58.55
MAGIC.118,51.5
MAGIC.119,NA
MAGIC.120,26.1
MAGIC.121,35.17
MAGIC.122,46.5
MAGIC.123,NA
MAGIC.124,NA
MAGIC.125,36
MAGIC.126,40
MAGIC.127,45.17
MAGIC.128,40.27
MAGIC.129,56.75
MAGIC.130,36.65
MAGIC.131,43.45
MAGIC.132,31
MAGIC.133,NA
MAGIC.134,39.5
MAGIC.135,41
MAGIC.136,48.15
MAGIC.137,NA
MAGIC.138,44.6
MAGIC.139,44.6
MAGIC.140,51.6
MAGIC.141,40.17
MAGIC.142,NA
MAGIC.143,43.6
MAGIC.144,42.2
MAGIC.145,NA
MAGIC.146,59.5
MAGIC.147,44.95
MAGIC.148,29.85
MAGIC.149,38.9
MAGIC.150,NA
MAGIC.151,37.5
MAGIC.152,43.75
MAGIC.153,15.83
MAGIC.154,36.67
MAGIC.155,20.17
MAGIC.156,39.1
MAGIC.157,NA
MAGIC.158,45.53
MAGIC.159,45.75
MAGIC.160,45.9
MAGIC.161,54.05
MAGIC.162,43.13
MAGIC.163,47.33
MAGIC.164,38.9
MAGIC.165,44.7
MAGIC.166,37.7
MAGIC.167,NA
MAGIC.168,42.35
MAGIC.169,34.2
MAGIC.170,41
MAGIC.171,29.75
MAGIC.172,25.5
MAGIC.173,41.17
MAGIC.174,NA
MAGIC.175,NA
MAGIC.176,NA
MAGIC.177,NA
MAGIC.178,NA
MAGIC.179,46
MAGIC.180,34.17
MAGIC.181,27.43
MAGIC.182,48
MAGIC.183,NA
MAGIC.184,39.5
MAGIC.185,22.9
MAGIC.186,20
MAGIC.187,NA
MAGIC.188,49.25
MAGIC.189,24.25
MAGIC.190,NA
MAGIC.191,NA
MAGIC.192,NA
MAGIC.193,NA
MAGIC.194,52
MAGIC.195,NA
MAGIC.196,49.87
MAGIC.197,37.5
MAGIC.198,47.6
MAGIC.199,50.17
MAGIC.200,NA
MAGIC.201,NA
MAGIC.202,46.5
MAGIC.203,NA
MAGIC.204,36.33
MAGIC.205,NA
MAGIC.206,NA
MAGIC.207,47.37
MAGIC.208,NA
MAGIC.209,NA
MAGIC.210,48.33
MAGIC.211,45.5
MAGIC.212,53.17
MAGIC.213,NA
MAGIC.214,39
MAGIC.215,53.5
MAGIC.216,43.85
MAGIC.217,47.5
MAGIC.218,NA
MAGIC.219,49.07
MAGIC.220,56.6
MAGIC.221,NA
MAGIC.222,34.47
MAGIC.223,48.6
MAGIC.224,NA
MAGIC.225,41.03
MAGIC.226,37.43
MAGIC.227,47.25
MAGIC.228,38.2
MAGIC.229,49.15
MAGIC.230,NA
MAGIC.231,45.3
MAGIC.232,41.33
MAGIC.233,36.5
MAGIC.234,45
MAGIC.235,43.87
MAGIC.236,29.5
MAGIC.237,47.25
MAGIC.238,42.67
MAGIC.239,49.1
MAGIC.240,18
MAGIC.241,NA
MAGIC.242,28.87
MAGIC.243,NA
MAGIC.244,50
MAGIC.245,41.5
MAGIC.246,26.67
MAGIC.247,NA
MAGIC.248,56.25
MAGIC.249,NA
MAGIC.250,36.77
MAGIC.251,34.3
MAGIC.252,48.83
MAGIC.253,36.5
MAGIC.254,NA
MAGIC.255,40.43
MAGIC.256,NA
MAGIC.257,NA
MAGIC.258,50.7
MAGIC.259,49.73
MAGIC.260,NA
MAGIC.261,47.87
MAGIC.262,45.6
MAGIC.263,47.4
MAGIC.264,39.3
MAGIC.265,NA
MAGIC.266,34.5
MAGIC.267,23
MAGIC.268,NA
MAGIC.269,45.9
MAGIC.270,39.1
MAGIC.271,NA
MAGIC.272,41.77
MAGIC.273,43
MAGIC.274,47.53
MAGIC.275,NA
MAGIC.276,NA
MAGIC.277,44.5
MAGIC.278,41.75
MAGIC.279,53.67
MAGIC.280,52.27
MAGIC.282,45.75
MAGIC.283,43.5
MAGIC.284,53.83
MAGIC.285,38.75
MAGIC.286,38.25
MAGIC.287,NA
MAGIC.288,42.77
MAGIC.289,20.57
MAGIC.290,19.55
MAGIC.291,35.07
MAGIC.292,44.4
MAGIC.293,NA
MAGIC.294,55
MAGIC.295,36.45
MAGIC.296,35.5
MAGIC.297,40.75
MAGIC.298,48.93
MAGIC.299,NA
MAGIC.300,47
MAGIC.301,41.05
MAGIC.302,38.75
MAGIC.303,49.5
MAGIC.304,43.83
MAGIC.305,36.85
MAGIC.306,36.5
MAGIC.307,NA
MAGIC.308,NA
MAGIC.309,27.67
MAGIC.310,51.8
MAGIC.311,44.55
MAGIC.312,39.4
MAGIC.313,43.55
MAGIC.314,56.27
MAGIC.315,51.75
MAGIC.316,40.8
MAGIC.317,NA
MAGIC.318,36
MAGIC.319,39.9
MAGIC.320,NA
MAGIC.321,NA
MAGIC.322,NA
MAGIC.323,38.25
MAGIC.324,53.15
MAGIC.325,NA
MAGIC.326,39.05
MAGIC.327,53
MAGIC.328,45.5
MAGIC.330,NA
MAGIC.331,34.67
MAGIC.332,NA
MAGIC.333,51.87
MAGIC.334,47.5
MAGIC.335,43.75
MAGIC.336,NA
MAGIC.337,43.33
MAGIC.338,41.37
MAGIC.339,39.75
MAGIC.340,46.5
MAGIC.341,NA
MAGIC.342,46
MAGIC.343,50.6
MAGIC.344,42.33
MAGIC.345,NA
MAGIC.346,24.5
MAGIC.347,NA
MAGIC.348,48.75
MAGIC.349,43.6
MAGIC.350,NA
MAGIC.351,54
MAGIC.352,43.5
MAGIC.353,49.3
MAGIC.354,46.9
MAGIC.355,49
MAGIC.356,41.5
MAGIC.357,24.35
MAGIC.358,47.4
MAGIC.359,23.75
MAGIC.360,NA
MAGIC.361,42.03
MAGIC.362,NA
MAGIC.363,48.75
MAGIC.364,38.75
MAGIC.365,43.5
MAGIC.366,38.75
MAGIC.367,45
MAGIC.368,NA
MAGIC.369,53.3
MAGIC.370,NA
MAGIC.371,38.25
MAGIC.372,NA
MAGIC.373,NA
MAGIC.374,39
MAGIC.375,48.9
MAGIC.376,NA
MAGIC.377,55
MAGIC.378,NA
MAGIC.379,NA
MAGIC.380,43.6
MAGIC.381,55.2
MAGIC.382,64
MAGIC.383,51.7
MAGIC.384,37.57
MAGIC.385,46.83
MAGIC.386,49.5
MAGIC.387,46.2
MAGIC.388,52.33
MAGIC.389,NA
MAGIC.390,49.87
MAGIC.391,47
MAGIC.392,41.8
MAGIC.393,44.5
MAGIC.394,45.75
MAGIC.395,NA
MAGIC.396,38.83
MAGIC.397,44.2
MAGIC.398,38
MAGIC.399,38.57
MAGIC.400,NA
MAGIC.401,54.57
MAGIC.402,61.75
MAGIC.403,NA
MAGIC.404,NA
MAGIC.405,34
MAGIC.406,42.5
MAGIC.407,NA
MAGIC.408,38
MAGIC.409,54.4
MAGIC.410,45.33
MAGIC.412,40.2
MAGIC.413,50.17
MAGIC.414,42.57
MAGIC.415,36.53
MAGIC.416,NA
MAGIC.417,43.35
MAGIC.418,NA
MAGIC.419,NA
MAGIC.420,39.73
MAGIC.421,45.75
MAGIC.422,41.5
MAGIC.423,NA
MAGIC.424,NA
MAGIC.425,34.63
MAGIC.426,41
MAGIC.427,45.8
MAGIC.428,44
MAGIC.429,42.67
MAGIC.430,41.6
MAGIC.431,51.25
MAGIC.432,41.75
MAGIC.433,59
MAGIC.434,47.33
MAGIC.435,40.5
MAGIC.436,39.43
MAGIC.437,38.5
MAGIC.438,NA
MAGIC.439,26.83
MAGIC.440,NA
MAGIC.441,NA
MAGIC.442,45.75
MAGIC.443,33
MAGIC.444,20.67
MAGIC.446,49.2
MAGIC.447,NA
MAGIC.448,41.5
MAGIC.449,48.45
MAGIC.450,20.9
MAGIC.451,44
MAGIC.452,46.1
MAGIC.453,NA
MAGIC.454,42.3
MAGIC.455,NA
MAGIC.456,35.35
MAGIC.457,50.25
MAGIC.458,45
MAGIC.459,43.23
MAGIC.460,54.9
MAGIC.461,NA
MAGIC.462,NA
MAGIC.463,NA
MAGIC.464,38.45
MAGIC.465,23.5
MAGIC.466,46
MAGIC.467,43.37
MAGIC.468,38.3
MAGIC.469,51
MAGIC.470,45.4
MAGIC.471,38
MAGIC.472,24.33
MAGIC.473,NA
MAGIC.474,68.75
MAGIC.475,43.83
MAGIC.476,NA
MAGIC.477,44.33
MAGIC.478,48
MAGIC.479,24
MAGIC.480,23
MAGIC.481,43.05
MAGIC.482,52.25
MAGIC.483,24.5
MAGIC.484,41.25
MAGIC.485,NA
MAGIC.486,50.83
MAGIC.487,46.67
MAGIC.488,54.37
MAGIC.489,19
MAGIC.490,41.5
MAGIC.491,46.93
MAGIC.492,39.6
MAGIC.493,35.97
MAGIC.494,52.83
MAGIC.495,40
MAGIC.496,NA
MAGIC.497,24.8
MAGIC.498,NA
MAGIC.499,NA
MAGIC.500,48.85
MAGIC.501,54.77
MAGIC.502,49.35
MAGIC.503,45.2
MAGIC.504,38.5
MAGIC.505,49.75
MAGIC.506,NA
MAGIC.507,36
MAGIC.508,49.95
MAGIC.509,43.25
MAGIC.510,NA
MAGIC.511,NA
MAGIC.512,38.5
MAGIC.513,NA
MAGIC.514,60.33
MAGIC.515,48.17
MAGIC.516,NA
MAGIC.517,43.93
MAGIC.518,NA
MAGIC.519,NA
MAGIC.520,20.7
MAGIC.521,40.1
MAGIC.522,58.75
MAGIC.523,29.5
MAGIC.524,43.1
MAGIC.525,40.75
MAGIC.526,45.7
MAGIC.527,33.15
MAGIC.528,45
MAGIC.529,45.23
MAGIC.530,28.5
MAGIC.531,39.8
MAGIC.532,55.3
MAGIC.533,51.33
MAGIC.534,NA
MAGIC.535,43
MAGIC.537,27
MAGIC.538,40.5
MAGIC.539,55.95
MAGIC.541,46.17
MAGIC.542,52.1
MAGIC.543,15
MAGIC.544,51.2
MAGIC.545,46.23
MAGIC.546,39.05
MAGIC.547,31.2
MAGIC.548,45.5
MAGIC.549,37
MAGIC.551,23.17
MAGIC.552,50.67
MAGIC.553,32
MAGIC.554,NA
MAGIC.555,NA
MAGIC.556,42.03
MAGIC.557,36.25
MAGIC.558,49.5
MAGIC.559,54.25
MAGIC.561,38.5
MAGIC.562,56.05
MAGIC.563,34.13
MAGIC.565,22.2
MAGIC.566,33.73
MAGIC.567,27.35
MAGIC.570,34.33
MAGIC.571,48.25
MAGIC.573,NA
MAGIC.574,45.75
MAGIC.575,31.1
MAGIC.576,NA
MAGIC.577,NA
MAGIC.578,36.75
MAGIC.579,31.33
MAGIC.580,38
MAGIC.581,26.33
MAGIC.582,31.25
MAGIC.583,13
MAGIC.584,36.33
MAGIC.585,47.9
MAGIC.586,NA
MAGIC.588,39.75
MAGIC.590,65.45
MAGIC.591,23.33
MAGIC.592,42.83
MAGIC.593,36
MAGIC.594,43
MAGIC.595,30
MAGIC.597,NA
MAGIC.598,35
MAGIC.599,45.4
MAGIC.600,56.17
MAGIC.601,51
MAGIC.602,NA
MAGIC.604,36.5
MAGIC.605,40.35
MAGIC.606,41.33
MAGIC.607,40.67
MAGIC.608,39.27
MAGIC.609,NA
MAGIC.610,NA
MAGIC.611,41.6
MAGIC.612,NA
MAGIC.613,66
MAGIC.614,NA
MAGIC.615,33.83
MAGIC.616,9
MAGIC.617,49.3
MAGIC.618,51
MAGIC.619,46.33
MAGIC.620,NA
MAGIC.621,NA
MAGIC.622,NA
MAGIC.623,50.33
MAGIC.624,48.03
MAGIC.625,NA
MAGIC.626,41.3
MAGIC.627,23
MAGIC.628,25.17
MAGIC.629,47.75
MAGIC.630,25.5
MAGIC.631,39.93
MAGIC.632,36.67
MAGIC.633,39.37
MAGIC.634,43.1
MAGIC.635,19.87
MAGIC.636,42.25
MAGIC.637,43.97
MAGIC.638,44.35
MAGIC.639,46.83
MAGIC.641,43.37
MAGIC.642,41.43
MAGIC.643,38.17
MAGIC.644,44.25
MAGIC.645,28
MAGIC.646,NA
MAGIC.647,40.43
MAGIC.651,29.67
MAGIC.652,NA
MAGIC.653,64
MAGIC.654,NA
MAGIC.655,NA
MAGIC.656,44
MAGIC.657,50.2
MAGIC.658,54.25
MAGIC.659,48.55
MAGIC.660,27.6
MAGIC.661,47.65
MAGIC.662,49.97
MAGIC.664,21.1
MAGIC.666,NA
MAGIC.668,NA
MAGIC.669,60.87
MAGIC.670,NA
MAGIC.671,NA
MAGIC.672,42
MAGIC.673,25
MAGIC.674,43.5
MAGIC.675,36.33
MAGIC.676,47.25
MAGIC.677,24.5
MAGIC.679,42.17
MAGIC.680,NA
MAGIC.681,NA
MAGIC.682,47.67
MAGIC.683,48.63
MAGIC.684,51.75
MAGIC.685,44.97
MAGIC.686,45
MAGIC.687,45.75
MAGIC.688,NA
MAGIC.689,47
MAGIC.690,22.25
MAGIC.691,42.83
MAGIC.692,NA
MAGIC.693,48.45
MAGIC.694,24
MAGIC.695,NA
MAGIC.696,NA
MAGIC.697,46.5
MAGIC.698,34.75
MAGIC.699,43.17
MAGIC.700,47.73
MAGIC.701,38.57
MAGIC.702,45.2
MAGIC.703,40.2
