id,Lactate..1
B01_01,1.742521
B01_02,-3.2052345
B01_03,2.58537
B01_04,1.8684205
B01_05,1.220512
B01_06,0.1081505
B01_07,3.147007
B01_08,4.23703
B01_09,-0.852894
B01_10,-1.1834585
B01_11,0.046525
B01_12,1.312252
B01_13,1.289862
B01_14,3.389537
B01_15,1.7459645
B01_16,3.168906
B01_17,-4.873466
B01_18,2.674811
B01_19,-2.780498
B01_20,1.599301
B01_21,-0.823361
B01_22,-0.3649015
B01_23,2.5450875
B01_24,0.6025995
B01_25,0.4422145
B01_26,2.0134445
B01_27,-1.785978
B01_28,-1.5476715
B01_29,0.508762
B01_30,3.2055715
B01_31,1.6710135
B01_32,0.542047
B01_33,-0.008575
B01_34,-0.664186
B01_35,-0.0478605
B01_36,-1.176252
B01_38,-0.7656475
B01_39,-0.3477145
B01_40,1.3438845
B01_41,-1.3551155
B01_42,-2.3696635
B01_43,1.8459805
B01_44,-1.929704
B01_45,-3.7527685
B01_46,-1.541803
B01_47,3.765908
B01_48,-0.484988
B01_49,-0.266537
B01_50,-1.09362
B01_51,-0.4383595
B01_52,-2.0839105
B01_53,-4.7391305
B01_54,4.5580885
B01_55,5.408793
B01_56,-4.2182165
B01_57,-3.7949015
B01_58,1.643639
B01_59,0.219876
B01_60,-2.1265495
B01_61,4.1181965
B01_62,-0.4084655
B01_63,-2.784382
B01_64,-0.2322315
B01_65,-2.0380985
B01_66,1.431309
B01_67,-1.2297855
B01_68,-3.605484
B01_69,1.963846
B01_70,1.7568495
B01_71,-1.436857
B01_72,-2.47839
B01_73,1.9775035
B01_74,-4.8300755
B01_75,-1.5429425
B01_76,-0.543702
B01_77,0.6796345
B01_78,2.8146065
B01_79,-3.4452055
B01_80,0.74281
B01_81,0.9096915
B01_82,0.9897335
B01_83,-1.086957
B01_84,-0.4769985
B01_85,-1.699728
B01_86,3.6630215
B01_87,0.139635
B01_88,-0.6964215
B01_89,-0.15152
B01_90,2.32657
B01_91,-1.203032
B01_92,0.340217
B01_94,-0.483131
B01_95,0.232726
B01_96,1.767915
