sample	AA	BB	CC	DD	EE	FF	GG	HH	II
1_1	0.49999734966892	0.499997349668891	3.62301696201047e-11	2.35154899756611e-11	4.80655627100188e-09	2.33680707467718e-06	3.11649971080654e-10	4.81618685901333e-09	2.95386097519739e-06
1_3	0.0310996582720468	0.968900261563122	3.16247523760213e-12	1.13453118284096e-14	3.40359342540474e-12	1.68473702717236e-09	3.10912648092639e-12	3.40407793301455e-12	7.84669953601083e-08
1_15	7.35309042036748e-08	7.35309042036758e-08	7.45448176900077e-08	2.54513135477055e-10	8.17280016585314e-08	7.53399280919703e-08	7.45447976006021e-08	0.999999471217845	7.53082919437005e-08
1_23	1.16058031013178e-06	1.16058031013178e-06	6.27847332027017e-09	6.8691286424259e-10	0.000223918846929182	0.999606353872985	5.93304365261675e-09	2.06525114411128e-07	0.000167186695944798
1_25	1.58148453653083e-12	1.58148453653083e-12	0.999999832780773	7.79216059977255e-12	2.29435605750421e-09	4.55673185212604e-12	1.62186086313143e-08	7.46617801901119e-08	7.4028991934353e-08
1_30	0.968985785907863	0.031014133998183	3.15967897667344e-12	1.13352803025298e-14	3.40058396774968e-12	1.68324738252052e-09	3.10637739097377e-12	3.40106804695786e-12	7.83976148347829e-08
1_31	8.42457494067274e-10	8.42457494067274e-10	4.55667236416172e-12	3.99692921510033e-13	1.19892678266639e-10	0.999999877728527	4.34175943459786e-12	1.20124278090027e-10	1.20337240269999e-07
1_32	7.21651931410498e-05	7.21651931410498e-05	7.31601556959985e-05	2.49766309828827e-07	0.919288561992293	7.39094125527029e-05	7.31601506655384e-05	8.02097665369483e-05	0.0802664183696713
1_39	0.757527635097731	0.242472284808333	3.15967897667362e-12	1.13352803025307e-14	3.40058396774983e-12	1.68324738252064e-09	3.10637739097399e-12	3.40106804695805e-12	7.83976148347874e-08
1_44	1.48000674998459e-06	1.48000674998455e-06	2.27448379534976e-05	1.01366602366366e-08	3.04087838377387e-06	6.04514651074208e-09	0.99992038770143	2.25634304055338e-05	2.8286956509269e-05
1_45	1.58148453653078e-12	1.58148453653078e-12	0.999999832780773	7.79216059976900e-12	2.29435605750356e-09	4.55673185212475e-12	1.62186086208814e-08	7.46617801897214e-08	7.40289919339659e-08
1_47	7.35309042036748e-08	7.35309042036758e-08	7.45448176900077e-08	2.54513135477052e-10	8.17280016585314e-08	7.53399280919703e-08	7.45447976006021e-08	0.999999471217845	7.53082919437005e-08
1_66	0.500359282539547	0.498328790566332	9.9176070771163e-12	8.70494843660948e-13	2.61110228723321e-10	0.00131166255001897	9.37607535306742e-12	2.61614984839963e-10	2.63801203787337e-07
1_80	8.42457425758576e-10	8.42457425758576e-10	4.55667629630341e-12	3.99700063371198e-13	1.19892672685624e-10	0.999999877805472	4.34175908381314e-12	1.20124785322991e-10	1.20260286993706e-07
1_89	7.9803301138575e-08	7.9803301138575e-08	7.35452398972547e-08	2.51076032039888e-10	7.66137227716074e-08	1.19386632819833e-07	7.35452348403164e-08	7.53132634943272e-08	0.999999421738206
