# Phenotypes for Maize MAGIC from Dell'Acqua et al (2015) doi:10.1186/s13059-015-0716-z,
# nrow 529,
# ncol 2,
Line,PH
1_1,179.8385
1_15,135.4811
1_23,182.5484
1_25,206.419
1_3,160.5886
1_30,169.8466
1_31,204.5644
1_32,165.8466
1_39,146.5725
1_44,184.5402
1_45,196.6127
1_47,123.9192
1_66,165.0482
1_80,178.371
1_89,157.4435
1_94,139.2282
10_10,190.4514
10_15,168.5321
10_17,147.7499
10_18,202.4435
10_21,191.9192
10_29,190.7095
10_36,167.4595
10_37,155.5484
10_38,163.895
10_41,151.5804
10_43,144.0805
10_47,188.9515
10_5,180.8064
10_8,189.4997
10_9,180.4837
11_21,201.6934
11_3,148.1933
11_30,190.8035
11_32,176.274
11_39,142.0159
11_4,142.7901
11_49,193.911
11_52,177.911
11_55,159.766
11_61,185.4677
11_63,168.387
11_65,188.4112
11_7,90.49
11_71,140.387
11_74,140.9515
12_1,113.371
12_104,182.7258
12_117,149.1773
12_21,125.0482
12_25,162.9917
12_34,170.7901
12_36,199.4193
12_37,154.1665
12_39,144.4353
12_40,180.6127
12_41,196.9192
12_48,138.0727
12_66,140.403
12_84,140.9352
12_86,172.8225
13_107,160.9244
13_21,145.8064
13_22,166.1289
13_23,187.7258
13_25,184.9838
13_28,143.3547
13_3,194.7418
13_30,167.8708
13_31,180.6288
13_33,107.34
13_36,171.5405
13_4,189.0724
13_41,200.0645
13_5,181.9434
13_60,167.4595
14_11,139.9273
14_12,122.9271
14_13,176.9032
14_25,204.9434
14_32,176.419
14_36,184.8656
14_39,152.0401
14_5,145.6127
14_67,124.0805
14_70,199.516
14_73,196.5804
14_84,153.7095
14_92,201.5804
14_93,189.0724
14_95,122.024
15_1,203.0319
15_103,183.879
15_107,140.7258
15_111,174.0966
15_15,149.6771
15_22,169.3223
15_23,197.1988
15_24,160.5239
15_45,123.3951
15_6,209.54283
15_73,154.0968
15_8,149.403
15_84,153.9192
15_9,112.4033
15_93,141.6774
16_10,159.4997
16_104,158.9999
16_22,150.4918
16_29,207.6585
16_51,164.6611
16_55,197.782
16_6,226.1773
16_75,159.2419
16_81,191.2981
16_83,139.2014
16_86,176.895
16_87,251.8385
16_91,142.7901
16_92,151.6611
16_96,115.8871
17_12,201.9192
17_35,193.4112
17_36,142.0645
17_41,117.0159
17_43,141.5536
17_44,152.2177
17_51,116.895
17_54,160.1854
17_56,191.1289
17_59,155.3628
17_6,138.1289
17_60,179.3386
17_62,169.5239
17_65,201.5967
17_7,138.1289
18_10,123.0322
18_2,187.3223
18_22,136.8225
18_24,165.8064
18_27,165.7738
18_29,197.5644
18_3,219.9192
18_31,137.8091
18_33,112.1371
18_36,183.6101
18_4,171.9434
18_57,173.3305
18_60,102.98
18_61,157.8868
18_66,198.274
18_9,135.3468
19_1,154.1933
19_14,165.4272
19_15,172.1775
19_18,112.7901
19_19,138.387
19_2,195.6934
19_23,138.371
19_29,163.516
19_30,149.5239
19_33,179.274
19_36,195.3063
19_37,127.5644
19_38,141.3707
19_40,166.4353
19_41,222.5886
19_44,226.2177
2_11,140.9515
2_14,112.0805
2_15,130.6529
2_28,145.2903
2_46,150.7901
2_54,137.8062
2_59,131.6666
2_6,170.2096
2_61,124.1773
2_62,139.9597
2_67,114.9999
2_68,185.1962
2_71,197.5804
2_73,137.6692
2_76,178.2498
20_12,206.6532
20_13,125.0482
20_15,184.9597
20_17,187.0939
20_24,129.9192
