Marker,Chr,cM
D1M1,1,0
D1M2,1,0.102693988010287
D1M3,1,0.108947893604636
D1M4,1,0.118142631836236
D1M5,1,0.184827418997884
D1M6,1,0.209159664809704
D1M7,1,0.236638183705509
D1M8,1,0.245426357723773
D1M9,1,0.266057280823588
D1M10,1,0.295607009902596
D1M11,1,0.330634480342269
D1M12,1,0.347910253331065
D1M13,1,0.363461868837476
D1M14,1,0.371995316818357
D1M15,1,0.465710442513227
D1M16,1,0.507813831791282
D1M17,1,0.594818531535566
D1M18,1,0.618424066342413
D1M19,1,0.666480157524347
D1M20,1,0.674838298000395
D1M21,1,0.689172861166298
D1M22,1,0.756862764246762
D1M23,1,0.768103064037859
D1M24,1,0.777198979631066
D1M25,1,0.848570298403502
D1M26,1,0.857960167340934
D1M27,1,0.919527299702168
D1M28,1,0.971993068233132
D1M29,1,0.995797924697399
D1M30,1,1.03095770347863
D1M31,1,1.07304030563682
D1M32,1,1.08340352308005
D1M33,1,1.16275055799633
D1M34,1,1.20936596766114
D1M35,1,1.30674872081727
D1M36,1,1.31031270604581
D1M37,1,1.31341874599457
D1M38,1,1.34902888443321
D1M39,1,1.38034719508141
D1M40,1,1.42611184157431
D1M41,1,1.46312196739018
D1M42,1,1.4665865432471
D1M43,1,1.46670267451555
D1M44,1,1.59650419838727
D1M45,1,1.69868580065668
D1M46,1,1.72292253468186
D1M47,1,1.76768768113106
D1M48,1,1.77442513871938
D1M49,1,1.82343291118741
D1M50,1,1.83082013390958
D1M51,1,1.89866640139371
D1M52,1,1.91756579093635
D1M53,1,1.97849950287491
D1M54,1,1.9864927791059
D1M55,1,1.99237620458007
D1M56,1,1.99681848753244
D1M57,1,2.00691155623645
D1M58,1,2.04123473726213
D1M59,1,2.1167522482574
D1M60,1,2.1892670262605
D1M61,1,2.21254520583898
D1M62,1,2.22825058735907
D1M63,1,2.25945171900094
D1M64,1,2.31053535360843
D1M65,1,2.35974902752787
D1M66,1,2.37981454934925
D1M67,1,2.39074274897575
D1M68,1,2.4912612978369
D1M69,1,2.56475043017417
D1M70,1,2.56799058057368
D1M71,1,2.7181256795302
D1M72,1,2.81735215801746
D1M73,1,2.85087930969894
D1M74,1,2.92418512981385
D1M75,1,2.99019793979824
